,name1,name2,name3,name4,name5,name6,name7,species,article,,doi,author,data,size,,
Angiospermae,basal Angiosperms,XXXXX,XXXXX,XXXXX,XXXXX,Amborellales,Amborellaceae,Amborella trichopoda,The Amborella genome and the evolution of flowering plants,Science. 2013 Dec 20 342(6165):1241089.,10.1126/science.1241089,Amborella Genome Project,2013/12/20,748,24357323,与光合相关植物
Angiospermae,basal Angiosperms,XXXXX,XXXXX,XXXXX,XXXXX,Nymphaeales,Nymphaeaceae,Euryale ferox,Prickly waterlily and rigid hornwort genomes shed light on early angiosperm evolution,"Nat Plants. 2020 Feb 24, Epub ahead of print",10.1038/s41477-020-0594-6,Yang Y et al.,2020/2/24,768,,Cenchrus purpureus
Angiospermae,basal Angiosperms,XXXXX,XXXXX,XXXXX,XXXXX,Nymphaeales,Nymphaeaceae,Nymphaea colorata,The water lily genome and the early evolution of flowering plants,"Nature. 2019 Dec 18, Epub ahead of print",10.1038/s41586-019-1852-5,Zhang L et al.,2019/12/18,409,,Dichanthelium oligosanthes
Angiospermae,basal Angiosperms,XXXXX,XXXXX,XXXXX,XXXXX,Nymphaeales,Nymphaeaceae,Nymphaea thermarum,Water lily (Nymphaea thermarum) genome reveals variable genomic signatures of ancient vascular cambium losses,"Proc Natl Acad Sci U S A. 2020 Mar 31, Epub ahead of print",10.1073/pnas.1922873117,Povilus RA et al.,2020/3/31,500,,Oryza granulata
Angiospermae,Mesangiosperms,Magnoliidae,XXXXX,XXXXX,XXXXX,Piperales,Piperaceae,Piper nigrum,The chromosome-scale reference genome of black pepper provides insight into piperine biosynthesis,"Nat Commun. 2019 Oct 16, 10(1): 4702",10.1038/s41467-019-12607-6,Hu L et al.,2019/10/16,762,,Setaria italica
Angiospermae,Mesangiosperms,Magnoliidae,XXXXX,XXXXX,XXXXX,Magnoliales,Magnoliaceae,Liriodendron chinense,Liriodendron genome sheds light on angiosperm phylogeny and species-pair differentiation,Nat Plants. 2019 Jan 5(1):18-25. Epub 2018 Dec 17.,10.1038/s41477-018-0323-6,Chen J et al.,2018/12/17,1750,,Setaria viridis
Angiospermae,Mesangiosperms,Magnoliidae,XXXXX,XXXXX,XXXXX,Laurales,Calycanthaceae,Chimonanthus praecox,The chromosome-level wintersweet (Chimonanthus praecox) genome provides insights into floral scent biosynthesis and flowering in winter,"Genome Biol. 2020 Aug 10, 21(1): 200",10.1186/s13059-020-02088-y,Shang J et al.,2020/8/10,780,,Ananas comosus
Angiospermae,Mesangiosperms,Magnoliidae,XXXXX,XXXXX,XXXXX,Laurales,Calycanthaceae,Chimonanthus salicifolius,The Chimonanthus Salicifolius Genome Provides Insight Into Magnoliid Evolution and Flavonoid Biosynthesis,"Plant J. 2020 Jun 10, Online ahead of print.",10.1111/tpj.14874,Lv Q et al.,2020/6/10,836,,Gastrodia elata
Angiospermae,Mesangiosperms,Magnoliidae,XXXXX,XXXXX,XXXXX,Laurales,Lauraceae,Cinnamomum kanehirae,Stout camphor tree genome fills gaps in understanding of flowering plant genome evolution,"Nat Plants. 2019 Jan, 5(1): 63-73",10.1038/s41477-018-0337-0,Chaw SM et al.,2019/1/9,830,,Phalaenopsis equestris
Angiospermae,Mesangiosperms,Magnoliidae,XXXXX,XXXXX,XXXXX,Laurales,Lauraceae,Litsea cubeba,The Litsea genome and the evolution of the laurel family,"Nat Commun. 2020 Apr 3, 11(1): 1675",10.1038/s41467-020-15493-5,Chen YC et al.,2020/4/3,1370,,Amaranthus hypochondriacus
Angiospermae,Mesangiosperms,Magnoliidae,XXXXX,XXXXX,XXXXX,Laurales,Lauraceae,Persea americana,"The avocado genome informs deep angiosperm phylogeny, highlights introgressive hybridization, and reveals pathogen-influenced gene space adaptation",Proc Natl Acad Sci U S A. 2019 Aug 20 116(34):17081-17089. Epub 2019 Aug 6.,10.1073/pnas.1822129116,Rendon-Anaya M et al.,2019/8/6,980,,Suaeda aralocaspica
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,XXXXX,XXXXX,Alismatales,Araceae,Lemna minor,The first draft genome of the aquatic model plant Lemna minor opens the route for future stress physiology research and biotechnological applications,Biotechnol Biofuels. 2015 Nov 25 8:188. eCollection 2015.,10.1186/s13068-015-0381-1,Van Hoeck A et al.,2015/11/25,481,26609323,Sesamum indicum
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,XXXXX,XXXXX,Alismatales,Araceae,Spirodela intermedia,"Chromosome-scale genome assembly for the duckweed Spirodela intermedia, integrating cytogenetic maps, PacBio and Oxford Nanopore libraries","Sci Rep. 10, 19230 (2020).",10.1038/s41598-020-75728-9,Hoang PTN et al.,2020/11/5,160,,Cuscuta campestris
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,XXXXX,XXXXX,Alismatales,Araceae,Spirodela polyrhiza,The Spirodela polyrhiza genome reveals insights into its neotenous reduction fast growth and aquatic lifestyle,Nat Commun. 2014 5:3311.,10.1038/ncomms4311,Wang et al.,2014/2/19,158,24548928,Mikania micrantha
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,XXXXX,XXXXX,Alismatales,Araceae,Spirodela polyrhiza,Plant evolution and environmental adaptation unveiled by long-read whole-genome sequencing of Spirodela,"Proc Natl Acad Sci U S A. 2019 Sep 17, 116(38): 18893-18899",10.1073/pnas.1910401116,An D et al.,2019/9/4,158,,Panax ginseng
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,XXXXX,XXXXX,Alismatales,Zosteraceae,Zostera marina,The genome of the seagrass Zostera marina reveals angiosperm adaptation to the sea,Nature. 2016 Feb 18 530(7590):331-5. Epub 2016 Jan 27.,10.1038/nature16548,Olsen JL et al.,2016/1/27,238,26814964,Kalanchoe fedtschenkoi
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,XXXXX,XXXXX,Alismatales,Zosteraceae,Zostera muelleri,The genome of a southern hemisphere seagrass species (Zostera muelleri),Plant Physiol. 2016 Sep 172(1):272-83. Epub 2016 Jul 3.,10.1104/pp.16.00868,Lee HT et al.,2016/7/3,890,27373688,Sedum album
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Aegilops tauschii,Aegilops tauschii draft genome sequence reveals a gene repertoire for wheat adaptation,Nature. 2013 Apr 4 496(7443):91-5. Epub 2013 Mar 24.,10.1038/nature12028,Jia et al.,2013/3/24,4360,23535592,Artocarpus altilis
