# Assembly Statistics Report
# Assembly name:  OsIR64RS1
# Organism name:  Oryza sativa (rice)
# Infraspecific name:  cultivar=IR64 (IRRI)
# Taxid:          4530
# BioSample:      SAMN10564385
# BioProject:     PRJNA509165
# Submitter:      University of Arizona
# Date:           2020-01-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    RWKJ01
# Assembly method: MECAT v. 1.3; CANU v. 1.5; FALCON v. 2017.06.28-18.01-py2.7-ucs4
# Expected final version: no
# Genome coverage: 150.0x
# Sequencing technology: PacBio Sequel; Illumina
# GenBank assembly accession: GCA_009914875.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_009914885.1		Primary Assembly
## GCA_009914895.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	387483803
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	91
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	112
all	all	all	all	scaffold-N50	7352909
all	all	all	all	scaffold-L50	18
all	all	all	all	scaffold-N75	3671995
all	all	all	all	scaffold-N90	1829869
all	all	all	all	contig-count	112
all	all	all	all	contig-N50	7352909
all	all	all	all	contig-L50	18
all	all	all	all	total-gap-length	58694
all	all	all	all	molecule-count	13
all	all	all	all	top-level-count	21
all	all	all	all	component-count	112
Primary Assembly	all	all	all	total-length	387434309
Primary Assembly	all	all	all	ungapped-length	387375615
Primary Assembly	all	all	all	scaffold-count	111
Primary Assembly	all	all	all	scaffold-N50	7352909
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	91
Primary Assembly	all	all	assembled-molecule	total-length	386698898
Primary Assembly	all	all	assembled-molecule	ungapped-length	386640204
Primary Assembly	all	all	assembled-molecule	scaffold-count	103
Primary Assembly	all	all	assembled-molecule	scaffold-N50	7352909
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	91
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	735411
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	735411
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	8
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	90242
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	44350042
Primary Assembly	1	Chromosome	all	ungapped-length	44348242
Primary Assembly	1	Chromosome	all	scaffold-count	19
Primary Assembly	1	Chromosome	all	scaffold-N50	3183067
Primary Assembly	1	Chromosome	all	spanned-gaps	0
Primary Assembly	1	Chromosome	all	unspanned-gaps	18
Primary Assembly	1	Chromosome	assembled-molecule	total-length	44350042
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	44348242
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	19
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	3183067
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	18
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	37111999
Primary Assembly	2	Chromosome	all	ungapped-length	37111299
Primary Assembly	2	Chromosome	all	scaffold-count	8
Primary Assembly	2	Chromosome	all	scaffold-N50	7222449
Primary Assembly	2	Chromosome	all	spanned-gaps	0
Primary Assembly	2	Chromosome	all	unspanned-gaps	7
Primary Assembly	2	Chromosome	assembled-molecule	total-length	37111999
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	37111299
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	8
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	7222449
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	7
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	38826278
Primary Assembly	3	Chromosome	all	ungapped-length	38825578
Primary Assembly	3	Chromosome	all	scaffold-count	8
Primary Assembly	3	Chromosome	all	scaffold-N50	8103883
Primary Assembly	3	Chromosome	all	spanned-gaps	0
Primary Assembly	3	Chromosome	all	unspanned-gaps	7
Primary Assembly	3	Chromosome	assembled-molecule	total-length	38826278
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	38825578
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	8
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	8103883
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	7
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	35281998
Primary Assembly	4	Chromosome	all	ungapped-length	35281598
Primary Assembly	4	Chromosome	all	scaffold-count	5
Primary Assembly	4	Chromosome	all	scaffold-N50	18388339
Primary Assembly	4	Chromosome	all	spanned-gaps	0
Primary Assembly	4	Chromosome	all	unspanned-gaps	4
Primary Assembly	4	Chromosome	assembled-molecule	total-length	35281998
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	35281598
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	5
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	18388339
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	4
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	31013547
Primary Assembly	5	Chromosome	all	ungapped-length	31012547
Primary Assembly	5	Chromosome	all	scaffold-count	11
Primary Assembly	5	Chromosome	all	scaffold-N50	7407860
Primary Assembly	5	Chromosome	all	spanned-gaps	0
Primary Assembly	5	Chromosome	all	unspanned-gaps	10
Primary Assembly	5	Chromosome	assembled-molecule	total-length	31013547
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	31012547
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-count	11
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-N50	7407860
Primary Assembly	5	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	unspanned-gaps	10
Primary Assembly	5	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	6	Chromosome	all	total-length	32151555
Primary Assembly	6	Chromosome	all	ungapped-length	32100761
Primary Assembly	6	Chromosome	all	scaffold-count	13
Primary Assembly	6	Chromosome	all	scaffold-N50	3460600
Primary Assembly	6	Chromosome	all	spanned-gaps	0
Primary Assembly	6	Chromosome	all	unspanned-gaps	12
Primary Assembly	6	Chromosome	assembled-molecule	total-length	32151555
Primary Assembly	6	Chromosome	assembled-molecule	ungapped-length	32100761
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-count	13
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-N50	3460600
Primary Assembly	6	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	6	Chromosome	assembled-molecule	unspanned-gaps	12
Primary Assembly	6	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	7	Chromosome	all	total-length	31201142
Primary Assembly	7	Chromosome	all	ungapped-length	31200542
Primary Assembly	7	Chromosome	all	scaffold-count	7
Primary Assembly	7	Chromosome	all	scaffold-N50	6299154
Primary Assembly	7	Chromosome	all	spanned-gaps	0
Primary Assembly	7	Chromosome	all	unspanned-gaps	6
Primary Assembly	7	Chromosome	assembled-molecule	total-length	31201142
Primary Assembly	7	Chromosome	assembled-molecule	ungapped-length	31200542
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-count	7
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-N50	6299154
Primary Assembly	7	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	7	Chromosome	assembled-molecule	unspanned-gaps	6
Primary Assembly	7	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	8	Chromosome	all	total-length	30180556
Primary Assembly	8	Chromosome	all	ungapped-length	30179856
Primary Assembly	8	Chromosome	all	scaffold-count	8
Primary Assembly	8	Chromosome	all	scaffold-N50	8538479
Primary Assembly	8	Chromosome	all	spanned-gaps	0
Primary Assembly	8	Chromosome	all	unspanned-gaps	7
Primary Assembly	8	Chromosome	assembled-molecule	total-length	30180556
Primary Assembly	8	Chromosome	assembled-molecule	ungapped-length	30179856
Primary Assembly	8	Chromosome	assembled-molecule	scaffold-count	8
Primary Assembly	8	Chromosome	assembled-molecule	scaffold-N50	8538479
Primary Assembly	8	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	8	Chromosome	assembled-molecule	unspanned-gaps	7
Primary Assembly	8	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	9	Chromosome	all	total-length	24266242
Primary Assembly	9	Chromosome	all	ungapped-length	24265742
Primary Assembly	9	Chromosome	all	scaffold-count	6
Primary Assembly	9	Chromosome	all	scaffold-N50	7379297
Primary Assembly	9	Chromosome	all	spanned-gaps	0
Primary Assembly	9	Chromosome	all	unspanned-gaps	5
Primary Assembly	9	Chromosome	assembled-molecule	total-length	24266242
Primary Assembly	9	Chromosome	assembled-molecule	ungapped-length	24265742
Primary Assembly	9	Chromosome	assembled-molecule	scaffold-count	6
Primary Assembly	9	Chromosome	assembled-molecule	scaffold-N50	7379297
Primary Assembly	9	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	9	Chromosome	assembled-molecule	unspanned-gaps	5
Primary Assembly	9	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	10	Chromosome	all	total-length	25557007
Primary Assembly	10	Chromosome	all	ungapped-length	25556607
Primary Assembly	10	Chromosome	all	scaffold-count	5
Primary Assembly	10	Chromosome	all	scaffold-N50	7352909
Primary Assembly	10	Chromosome	all	spanned-gaps	0
Primary Assembly	10	Chromosome	all	unspanned-gaps	4
Primary Assembly	10	Chromosome	assembled-molecule	total-length	25557007
Primary Assembly	10	Chromosome	assembled-molecule	ungapped-length	25556607
Primary Assembly	10	Chromosome	assembled-molecule	scaffold-count	5
Primary Assembly	10	Chromosome	assembled-molecule	scaffold-N50	7352909
Primary Assembly	10	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	10	Chromosome	assembled-molecule	unspanned-gaps	4
Primary Assembly	10	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	11	Chromosome	all	total-length	31218896
Primary Assembly	11	Chromosome	all	ungapped-length	31218096
Primary Assembly	11	Chromosome	all	scaffold-count	9
Primary Assembly	11	Chromosome	all	scaffold-N50	5797852
Primary Assembly	11	Chromosome	all	spanned-gaps	0
Primary Assembly	11	Chromosome	all	unspanned-gaps	8
Primary Assembly	11	Chromosome	assembled-molecule	total-length	31218896
Primary Assembly	11	Chromosome	assembled-molecule	ungapped-length	31218096
Primary Assembly	11	Chromosome	assembled-molecule	scaffold-count	9
Primary Assembly	11	Chromosome	assembled-molecule	scaffold-N50	5797852
Primary Assembly	11	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	11	Chromosome	assembled-molecule	unspanned-gaps	8
Primary Assembly	11	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	11	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	11	Chromosome	unlocalized-scaffold	scaffold-count	0
