# Assembly Statistics Report
# Assembly name:  Oryza_nivara_v1.0
# Organism name:  Oryza nivara (monocots)
# Taxid:          4536
# BioSample:      SAMN02981560
# BioProject:     PRJNA48107
# Submitter:      Oryza Map Alignment Project (OMAP)
# Date:           2014-02-25
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AWHD01
# Assembly method: AllPaths v. 44849
# Genome coverage: 102.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000576065.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000576075.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	337950324
all	all	all	all	spanned-gaps	16472
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	12
all	all	all	all	scaffold-N50	28646061
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	24378308
all	all	all	all	scaffold-N90	20407407
all	all	all	all	contig-count	16484
all	all	all	all	contig-N50	37688
all	all	all	all	contig-L50	2424
all	all	all	all	total-gap-length	27953383
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	12
all	all	all	all	component-count	16484
Primary Assembly	all	all	all	total-length	337950324
Primary Assembly	all	all	all	ungapped-length	309996941
Primary Assembly	all	all	all	scaffold-count	12
Primary Assembly	all	all	all	scaffold-N50	28646061
Primary Assembly	all	all	all	spanned-gaps	16472
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	337950324
Primary Assembly	all	all	assembled-molecule	ungapped-length	309996941
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	28646061
Primary Assembly	all	all	assembled-molecule	spanned-gaps	16472
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	chr1	Chromosome	all	total-length	42845077
Primary Assembly	chr1	Chromosome	all	ungapped-length	40366480
Primary Assembly	chr1	Chromosome	all	scaffold-count	1
Primary Assembly	chr1	Chromosome	all	scaffold-N50	42845077
Primary Assembly	chr1	Chromosome	all	spanned-gaps	1787
Primary Assembly	chr1	Chromosome	all	unspanned-gaps	0
Primary Assembly	chr1	Chromosome	assembled-molecule	total-length	42845077
