# Assembly Statistics Report
# Assembly name:  Gmax_ZH13_v2.0
# Organism name:  Glycine max (soybean)
# Infraspecific name:  cultivar=Zhonghuang 13
# Taxid:          3847
# BioSample:      SAMN09379531
# BioProject:     PRJNA475162
# Submitter:      Institute of Genetics and Developmental Biology , Chinese Academy of Science
# Date:           2020-02-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QKRT02
# Assembly method: Canu v. 1.7.1; Bionano Solve v. Nov-2018; HERA v. Jau-2019; Juicer v. 1.5; 3D-DNA v. 180114
# Expected final version: no
# Genome coverage: 290.0x
# Sequencing technology: PacBio; Illumina; Bionano
# GenBank assembly accession: GCA_003349995.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003350075.2		Primary Assembly
## GCA_003350135.2		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1011378317
all	all	all	all	spanned-gaps	583
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	45
all	all	all	all	scaffold-N50	51952677
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	46590119
all	all	all	all	scaffold-N90	42350739
all	all	all	all	contig-count	628
all	all	all	all	contig-N50	17978897
all	all	all	all	contig-L50	21
all	all	all	all	total-gap-length	2396902
all	all	all	all	molecule-count	22
all	all	all	all	top-level-count	45
all	all	all	all	component-count	45
Primary Assembly	all	all	all	total-length	1010712318
Primary Assembly	all	all	all	ungapped-length	1008315416
Primary Assembly	all	all	all	scaffold-count	43
Primary Assembly	all	all	all	scaffold-N50	51952677
Primary Assembly	all	all	all	spanned-gaps	583
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	997041141
Primary Assembly	all	all	assembled-molecule	ungapped-length	994711739
Primary Assembly	all	all	assembled-molecule	scaffold-count	20
Primary Assembly	all	all	assembled-molecule	scaffold-N50	51952677
Primary Assembly	all	all	assembled-molecule	spanned-gaps	448
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	13671177
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	13603677
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	23
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	4665118
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	135
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	59249829
Primary Assembly	1	Chromosome	all	ungapped-length	59003777
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	59249829
Primary Assembly	1	Chromosome	all	spanned-gaps	28
