# Assembly Statistics Report
# Assembly name:  Os125827RS1
# Organism name:  Oryza sativa (rice)
# Infraspecific name:  cultivar=LIU XU::IRGC 109232-1
# Taxid:          4530
# BioSample:      SAMN13021815
# BioProject:     PRJNA577228
# Submitter:      University of Arizona
# Date:           2020-01-06
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WGGU01
# Assembly method: FALCON v. 2017.06.28-18.01-py2.7-ucs4; MECAT v. 2-20190314; CANU v. 1.5
# Expected final version: no
# Genome coverage: 138.0x
# Sequencing technology: PacBio Sequel; Illumina
# GenBank assembly accession: GCA_009829375.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_009829385.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	490154521
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	5
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	580
all	all	all	all	scaffold-N50	29704550
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	14050284
all	all	all	all	scaffold-N90	196694
all	all	all	all	contig-count	580
all	all	all	all	contig-N50	29704550
all	all	all	all	contig-L50	7
all	all	all	all	total-gap-length	500
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	575
all	all	all	all	component-count	580
Primary Assembly	all	all	all	total-length	490154521
Primary Assembly	all	all	all	ungapped-length	490154021
Primary Assembly	all	all	all	scaffold-count	580
Primary Assembly	all	all	all	scaffold-N50	29704550
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	5
Primary Assembly	all	all	assembled-molecule	total-length	392033263
Primary Assembly	all	all	assembled-molecule	ungapped-length	392032763
Primary Assembly	all	all	assembled-molecule	scaffold-count	17
Primary Assembly	all	all	assembled-molecule	scaffold-N50	30913760
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	98121258
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	98121258
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	563
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	196694
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	44746243
Primary Assembly	1	Chromosome	all	ungapped-length	44746243
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	44746243
Primary Assembly	1	Chromosome	all	spanned-gaps	0
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	44746243
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	44746243
