# Assembly Statistics Report
# Assembly name:  Graimondii2_0
# Organism name:  Gossypium raimondii (eudicots)
# Taxid:          29730
# BioSample:      SAMN02743920
# BioProject:     PRJNA171262
# Submitter:      DOE Joint Genome Institute
# Date:           2012-12-20
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    ALYE01
# Assembly method: ARACHNE v. 20071016_modified
# Genome coverage: 19.7x
# Sequencing technology: ABI3730
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000327365.1
# RefSeq assembly accession: GCF_000327365.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000327375.1	GCF_000327375.1	Primary Assembly
## 	GCF_000981865.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	761405269
all	all	all	all	spanned-gaps	19717
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1033
all	all	all	all	scaffold-N50	62175169
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	55868233
all	all	all	all	scaffold-N90	45765648
all	all	all	all	contig-count	20750
all	all	all	all	contig-N50	119799
all	all	all	all	contig-L50	1813
all	all	all	all	total-gap-length	13440339
all	all	all	all	molecule-count	13
all	all	all	all	top-level-count	1033
all	all	all	all	component-count	20750
Primary Assembly	all	all	all	total-length	761405269
Primary Assembly	all	all	all	ungapped-length	747964930
Primary Assembly	all	all	all	scaffold-count	1033
Primary Assembly	all	all	all	scaffold-N50	62175169
Primary Assembly	all	all	all	spanned-gaps	19717
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	749228090
Primary Assembly	all	all	assembled-molecule	ungapped-length	737708588
Primary Assembly	all	all	assembled-molecule	scaffold-count	13
Primary Assembly	all	all	assembled-molecule	scaffold-N50	62175169
Primary Assembly	all	all	assembled-molecule	spanned-gaps	17923
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	12177179
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	10256342
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1020
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	16584
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1794
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	55868233
Primary Assembly	1	Chromosome	all	ungapped-length	54872053
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	55868233
