# Assembly Statistics Report
# Assembly name:  ASM198140v1
# Organism name:  Spirodela polyrhiza (great duckweed)
# Infraspecific name:  strain=9509
# Taxid:          29656
# BioSample:      SAMN04386762
# BioProject:     PRJNA308109
# Submitter:      Donald Danforth Plant Science Center
# Date:           2017-01-17
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Assembly method: AllPaths v. April-2016
# Expected final version: yes
# Genome coverage: 95.0x
# Sequencing technology: Illumina HiSeq; Bionano
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_001981405.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001981415.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	136670443
all	all	all	all	spanned-gaps	11803
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	11823
all	all	all	all	contig-N50	17860
all	all	all	all	contig-L50	2103
all	all	all	all	total-gap-length	9919994
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	20
all	all	all	all	component-count	20
Primary Assembly	all	all	all	total-length	136670443
Primary Assembly	all	all	all	ungapped-length	126750449
Primary Assembly	all	all	all	spanned-gaps	11803
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	136670443
Primary Assembly	all	all	assembled-molecule	ungapped-length	126750449
Primary Assembly	all	all	assembled-molecule	spanned-gaps	11803
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	14772968
Primary Assembly	1	Chromosome	all	ungapped-length	13666576
Primary Assembly	1	Chromosome	all	spanned-gaps	1217
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	14772968
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	13666576
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	1217
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
