# Assembly Statistics Report
# Assembly name:  Ler Assembly
# Organism name:  Arabidopsis thaliana (thale cress)
# Infraspecific name:  ecotype=Landsberg erecta
# Taxid:          3702
# BioSample:      SAMN04457953
# BioProject:     PRJNA311266
# Submitter:      Center for genomic Regulation
# Date:           2016-05-27
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    LUHQ01
# Assembly method: AllPaths v. r40912; SSPACE-SR v. 1.4; SSPACE-LR v. 1.1; PBJelly v. 15.2.20
# Expected final version: yes
# Genome coverage: 141.0x
# Sequencing technology: Illumina; PacBio
# GenBank assembly accession: GCA_001651475.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001651485.1		Primary Assembly
## GCA_001651495.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	118890721
all	all	all	all	spanned-gaps	495
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	30
all	all	all	all	scaffold-N50	22588203
all	all	all	all	scaffold-L50	3
all	all	all	all	scaffold-N75	19037554
all	all	all	all	scaffold-N90	17980856
all	all	all	all	contig-count	525
all	all	all	all	contig-N50	1193183
all	all	all	all	contig-L50	27
all	all	all	all	total-gap-length	1777525
all	all	all	all	molecule-count	7
all	all	all	all	top-level-count	30
all	all	all	all	component-count	30
Primary Assembly	all	all	all	total-length	118269099
Primary Assembly	all	all	all	ungapped-length	116600889
Primary Assembly	all	all	all	scaffold-count	27
Primary Assembly	all	all	all	scaffold-N50	22588203
Primary Assembly	all	all	all	spanned-gaps	466
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	115367073
Primary Assembly	all	all	assembled-molecule	ungapped-length	114365406
Primary Assembly	all	all	assembled-molecule	scaffold-count	5
Primary Assembly	all	all	assembled-molecule	scaffold-N50	22588203
Primary Assembly	all	all	assembled-molecule	spanned-gaps	322
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	2902026
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	2235483
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	22
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	196412
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	144
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	29387870
Primary Assembly	1	Chromosome	all	ungapped-length	29113901
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	29387870
Primary Assembly	1	Chromosome	all	spanned-gaps	70
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	29387870
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	29113901
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	29387870
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	70
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	19037554
Primary Assembly	2	Chromosome	all	ungapped-length	18861058
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	19037554
Primary Assembly	2	Chromosome	all	spanned-gaps	66
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	19037554
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	18861058
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	19037554
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	66
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	22588203
Primary Assembly	3	Chromosome	all	ungapped-length	22443255
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	22588203
Primary Assembly	3	Chromosome	all	spanned-gaps	64
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	22588203
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	22443255
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	22588203
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	64
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
