# Assembly Statistics Report
# Assembly name:  ASM615156v1
# Organism name:  Cicer arietinum (chickpea)
# Infraspecific name:  ecotype=chickpea
# Taxid:          3827
# BioSample:      SAMN11479683
# BioProject:     PRJNA529655
# Submitter:      International Center for Agricultural Research in the Dry Areas
# Date:           2019-06-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Assembly method: samtools and bowtie v. 0.1.19
# Expected final version: yes
# Reference guided assembly: ASM33114v1
# Genome coverage: 47.4x
# Sequencing technology: Illumina
# GenBank assembly accession: GCA_006151565.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_006151575.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	347246965
all	all	all	all	spanned-gaps	385090
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	385098
all	all	all	all	contig-N50	2350
all	all	all	all	contig-L50	33895
all	all	all	all	total-gap-length	47731093
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	8
all	all	all	all	component-count	8
Primary Assembly	all	all	all	total-length	347246965
Primary Assembly	all	all	all	ungapped-length	299515872
Primary Assembly	all	all	all	spanned-gaps	385090
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	347246965
Primary Assembly	all	all	assembled-molecule	ungapped-length	299515872
Primary Assembly	all	all	assembled-molecule	spanned-gaps	385090
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	Ca1	Chromosome	all	total-length	48359835
Primary Assembly	Ca1	Chromosome	all	ungapped-length	41927690
Primary Assembly	Ca1	Chromosome	all	spanned-gaps	47781
Primary Assembly	Ca1	Chromosome	all	unspanned-gaps	0
Primary Assembly	Ca1	Chromosome	assembled-molecule	total-length	48359835
Primary Assembly	Ca1	Chromosome	assembled-molecule	ungapped-length	41927690
Primary Assembly	Ca1	Chromosome	assembled-molecule	spanned-gaps	47781
Primary Assembly	Ca1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	Ca1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	Ca1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	Ca1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	Ca1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	Ca2	Chromosome	all	total-length	36634843
Primary Assembly	Ca2	Chromosome	all	ungapped-length	31305502
Primary Assembly	Ca2	Chromosome	all	spanned-gaps	36586
Primary Assembly	Ca2	Chromosome	all	unspanned-gaps	0
Primary Assembly	Ca2	Chromosome	assembled-molecule	total-length	36634843
Primary Assembly	Ca2	Chromosome	assembled-molecule	ungapped-length	31305502
Primary Assembly	Ca2	Chromosome	assembled-molecule	spanned-gaps	36586
Primary Assembly	Ca2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	Ca2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	Ca2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	Ca2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	Ca2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	Ca3	Chromosome	all	total-length	39988996
Primary Assembly	Ca3	Chromosome	all	ungapped-length	35186611
Primary Assembly	Ca3	Chromosome	all	spanned-gaps	42908
Primary Assembly	Ca3	Chromosome	all	unspanned-gaps	0
Primary Assembly	Ca3	Chromosome	assembled-molecule	total-length	39988996
Primary Assembly	Ca3	Chromosome	assembled-molecule	ungapped-length	35186611
Primary Assembly	Ca3	Chromosome	assembled-molecule	spanned-gaps	42908
Primary Assembly	Ca3	Chromosome	assembled-molecule	unspanned-gaps	0
