# Assembly Statistics Report
# Assembly name:  EGPMv6
# Organism name:  Elaeis guineensis (African oil palm)
# Infraspecific name:  ecotype=AVROS
# Taxid:          51953
# BioSample:      SAMN15063639
# BioProject:     PRJNA636092
# Submitter:      Sime Darby Plantation Technology Centre Sdn Bhd
# Date:           2020-11-13
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    DVFH01
# Assembly method: ALLMAPS v. JAN-2020
# Expected final version: no
# Reference guided assembly: GCA_000442705.1
# Genome coverage: 16.0x
# Sequencing technology: Linkage mapping
# GenBank assembly accession: GCA_015461965.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_015461975.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1209420378
all	all	all	all	spanned-gaps	126734
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	165
all	all	all	all	scaffold-N50	76242894
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	61990520
all	all	all	all	scaffold-N90	45889528
all	all	all	all	contig-count	126899
all	all	all	all	contig-N50	12352
all	all	all	all	contig-L50	18788
all	all	all	all	total-gap-length	367894575
all	all	all	all	molecule-count	16
all	all	all	all	top-level-count	165
all	all	all	all	component-count	2420
Primary Assembly	all	all	all	total-length	1209420378
Primary Assembly	all	all	all	ungapped-length	841525803
Primary Assembly	all	all	all	scaffold-count	165
Primary Assembly	all	all	all	scaffold-N50	76242894
Primary Assembly	all	all	all	spanned-gaps	126734
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	1167735174
Primary Assembly	all	all	assembled-molecule	ungapped-length	814694967
Primary Assembly	all	all	assembled-molecule	scaffold-count	16
Primary Assembly	all	all	assembled-molecule	scaffold-N50	83137001
Primary Assembly	all	all	assembled-molecule	spanned-gaps	122150
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	11221855
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	8730211
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	1
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	11221855
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	1046
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	30463349
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	18100625
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	148
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	551488
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	3538
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	83216276
Primary Assembly	1	Chromosome	all	ungapped-length	61918499
Primary Assembly	1	Chromosome	all	scaffold-count	2
Primary Assembly	1	Chromosome	all	scaffold-N50	71994421
Primary Assembly	1	Chromosome	all	spanned-gaps	8126
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	71994421
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	53188288
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	71994421
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	7080
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	11221855
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	8730211
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	11221855
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	1046
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	142505313
Primary Assembly	2	Chromosome	all	ungapped-length	103313777
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	142505313
Primary Assembly	2	Chromosome	all	spanned-gaps	14190
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	142505313
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	103313777
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	142505313
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	14190
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	89742257
Primary Assembly	3	Chromosome	all	ungapped-length	62966940
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	89742257
Primary Assembly	3	Chromosome	all	spanned-gaps	9203
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	89742257
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	62966940
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	89742257
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	9203
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	94884161
Primary Assembly	4	Chromosome	all	ungapped-length	65359771
Primary Assembly	4	Chromosome	all	scaffold-count	1
Primary Assembly	4	Chromosome	all	scaffold-N50	94884161
Primary Assembly	4	Chromosome	all	spanned-gaps	10205
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	total-length	94884161
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	65359771
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	94884161
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	10205
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	89323190
Primary Assembly	5	Chromosome	all	ungapped-length	61983135
Primary Assembly	5	Chromosome	all	scaffold-count	1
Primary Assembly	5	Chromosome	all	scaffold-N50	89323190
Primary Assembly	5	Chromosome	all	spanned-gaps	9335
Primary Assembly	5	Chromosome	all	unspanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	total-length	89323190
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	61983135
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-N50	89323190
