# Assembly Statistics Report
# Assembly name:  ASM368901v2
# Organism name:  Cicer reticulatum (eudicots)
# Isolate:  PI489777
# Taxid:          90898
# BioSample:      SAMN03105776
# BioProject:     PRJNA263699
# Submitter:      NIPGR
# Date:           2019-07-29
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QSLP02
# Assembly method: AllPaths v. 2.0
# Expected final version: no
# Genome coverage: 49.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_003689015.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003689025.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	416904123
all	all	all	all	spanned-gaps	28997
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	3657
all	all	all	all	scaffold-N50	55213382
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	46769580
all	all	all	all	scaffold-N90	15366267
all	all	all	all	contig-count	32654
all	all	all	all	contig-N50	28852
all	all	all	all	contig-L50	3367
all	all	all	all	total-gap-length	37234412
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	3657
all	all	all	all	component-count	3657
Primary Assembly	all	all	all	total-length	416904123
Primary Assembly	all	all	all	ungapped-length	379669711
Primary Assembly	all	all	all	scaffold-count	3657
Primary Assembly	all	all	all	scaffold-N50	55213382
Primary Assembly	all	all	all	spanned-gaps	28997
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	384608571
Primary Assembly	all	all	assembled-molecule	ungapped-length	351656417
Primary Assembly	all	all	assembled-molecule	scaffold-count	8
Primary Assembly	all	all	assembled-molecule	scaffold-N50	55213382
Primary Assembly	all	all	assembled-molecule	spanned-gaps	25962
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	32295552
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	28013294
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	3649
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	32314
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	3035
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	LG1	Linkage Group	all	total-length	55213382
