# Assembly Statistics Report
# Assembly name:  ASM1361896v1
# Organism name:  Manihot esculenta (cassava)
# Infraspecific name:  cultivar=SC205
# Taxid:          3983
# BioSample:      SAMN13053494
# BioProject:     PRJNA578024
# Submitter:      ITBB
# Date:           2020-07-24
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WIGR01
# Assembly method: Canu v. 1.5; Wtdbg v. 1.2.8
# Expected final version: no
# Genome coverage: 90.0x
# Sequencing technology: PacBio Sequel; PacBio RSII
# GenBank assembly accession: GCA_013618965.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_013619055.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	710028560
all	all	all	all	spanned-gaps	324
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1289
all	all	all	all	scaffold-N50	34450595
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	31546459
all	all	all	all	scaffold-N90	30505488
all	all	all	all	contig-count	1613
all	all	all	all	contig-N50	4575446
all	all	all	all	contig-L50	47
all	all	all	all	total-gap-length	31509
all	all	all	all	molecule-count	17
all	all	all	all	top-level-count	1289
all	all	all	all	component-count	1289
Primary Assembly	all	all	all	total-length	710028560
Primary Assembly	all	all	all	ungapped-length	709997051
Primary Assembly	all	all	all	scaffold-count	1289
Primary Assembly	all	all	all	scaffold-N50	34450595
Primary Assembly	all	all	all	spanned-gaps	324
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	605667735
Primary Assembly	all	all	assembled-molecule	ungapped-length	605637526
Primary Assembly	all	all	assembled-molecule	scaffold-count	17
Primary Assembly	all	all	assembled-molecule	scaffold-N50	36926040
Primary Assembly	all	all	assembled-molecule	spanned-gaps	311
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	104360825
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	104359525
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1272
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	93614
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	13
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	43199520
Primary Assembly	1	Chromosome	all	ungapped-length	43198260
