# Assembly Statistics Report
# Assembly name:  12X
# Organism name:  Vitis vinifera (wine grape)
# Infraspecific name:  cultivar=PN40024
# Taxid:          29760
# BioSample:      SAMEA2272750
# BioProject:     PRJEA18785
# Submitter:      International Grape Genome Program
# Date:           2009-12-07
# Assembly type:  haploid
# Release type:   minor
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAAP03
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000003745.2
# RefSeq assembly accession: GCF_000003745.3
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000003755.2	GCF_000003755.3	Primary Assembly
## 	GCF_000003775.2	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	485326422
all	all	all	all	spanned-gaps	12590
all	all	all	all	unspanned-gaps	154
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2065
all	all	all	all	scaffold-N50	3426264
all	all	all	all	scaffold-L50	42
all	all	all	all	scaffold-N75	1686736
all	all	all	all	scaffold-N90	487541
all	all	all	all	contig-count	14655
all	all	all	all	contig-N50	102674
all	all	all	all	contig-L50	1365
all	all	all	all	total-gap-length	15058008
all	all	all	all	molecule-count	19
all	all	all	all	top-level-count	1911
all	all	all	all	component-count	14665
Primary Assembly	all	all	all	total-length	485326422
Primary Assembly	all	all	all	ungapped-length	470268414
Primary Assembly	all	all	all	scaffold-count	2065
Primary Assembly	all	all	all	scaffold-N50	3426264
Primary Assembly	all	all	all	spanned-gaps	12590
Primary Assembly	all	all	all	unspanned-gaps	154
Primary Assembly	all	all	assembled-molecule	total-length	426176009
Primary Assembly	all	all	assembled-molecule	ungapped-length	416169649
Primary Assembly	all	all	assembled-molecule	scaffold-count	173
Primary Assembly	all	all	assembled-molecule	scaffold-N50	3764787
Primary Assembly	all	all	assembled-molecule	spanned-gaps	8845
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	154
Primary Assembly	all	all	unlocalized-scaffold	total-length	16855925
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	16125941
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	38
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	1033657
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	576
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	42294488
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	37972824
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1854
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	131128
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	3169
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	23606572
Primary Assembly	1	Chromosome	all	ungapped-length	23106123
Primary Assembly	1	Chromosome	all	scaffold-count	11
