# Assembly Statistics Report
# Assembly name:  Zm-B73-REFERENCE-NAM-5.0
# Organism name:  Zea mays (maize)
# Infraspecific name:  cultivar=B73
# Taxid:          4577
# BioSample:      SAMEA5569141
# BioProject:     PRJEB32225
# Submitter:      MaizeGDB
# Date:           2020-03-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CABHLF01
# Genome coverage: 83x
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_902167145.1
# RefSeq assembly accession: GCF_902167145.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_902167144.1	GCF_902167144.1	Primary Assembly
## 	GCF_000138815.2	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2182075994
all	all	all	all	spanned-gaps	708
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	685
all	all	all	all	scaffold-N50	226353449
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	181357234
all	all	all	all	scaffold-N90	163004744
all	all	all	all	contig-count	1393
all	all	all	all	contig-N50	47037903
all	all	all	all	contig-L50	16
all	all	all	all	total-gap-length	3807886
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	685
all	all	all	all	component-count	695
Primary Assembly	all	all	all	total-length	2182075994
Primary Assembly	all	all	all	ungapped-length	2178268108
Primary Assembly	all	all	all	scaffold-count	685
Primary Assembly	all	all	all	scaffold-N50	226353449
Primary Assembly	all	all	all	spanned-gaps	708
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2131846805
Primary Assembly	all	all	assembled-molecule	ungapped-length	2128038919
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	226353449
Primary Assembly	all	all	assembled-molecule	spanned-gaps	708
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	50229189
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	50229189
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	675
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	78216
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	308452471
Primary Assembly	1	Chromosome	all	ungapped-length	308009078
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	308452471
Primary Assembly	1	Chromosome	all	spanned-gaps	72
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	308452471
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	308009078
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	308452471
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	72
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	243675191
Primary Assembly	2	Chromosome	all	ungapped-length	242968907
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	243675191
Primary Assembly	2	Chromosome	all	spanned-gaps	77
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	243675191
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	242968907
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	243675191
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	77
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	238017767
Primary Assembly	3	Chromosome	all	ungapped-length	237196652
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	238017767
Primary Assembly	3	Chromosome	all	spanned-gaps	150
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	238017767
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	237196652
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	238017767
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	150
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	250330460
Primary Assembly	4	Chromosome	all	ungapped-length	249980224
Primary Assembly	4	Chromosome	all	scaffold-count	1
Primary Assembly	4	Chromosome	all	scaffold-N50	250330460
Primary Assembly	4	Chromosome	all	spanned-gaps	64
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	total-length	250330460
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	249980224
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	250330460
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	64
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	226353449
Primary Assembly	5	Chromosome	all	ungapped-length	226171974
Primary Assembly	5	Chromosome	all	scaffold-count	1
Primary Assembly	5	Chromosome	all	scaffold-N50	226353449
Primary Assembly	5	Chromosome	all	spanned-gaps	43
Primary Assembly	5	Chromosome	all	unspanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	total-length	226353449
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	226171974
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-N50	226353449
Primary Assembly	5	Chromosome	assembled-molecule	spanned-gaps	43
Primary Assembly	5	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	total-length	0
