# Assembly Statistics Report
# Assembly name:  SPENNV200
# Organism name:  Solanum pennellii (eudicots)
# Taxid:          28526
# BioSample:      SAMEA3283146
# BioProject:     PRJEB5809
# Submitter:      RWTH Aachen
# Date:           2014-07-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Genome coverage: 210x
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_001406875.2
# RefSeq assembly accession: GCF_001406875.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001406885.2	GCF_001406885.1	Primary Assembly
## GCA_001455535.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	926581845
all	all	all	all	spanned-gaps	30741
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	30754
all	all	all	all	contig-N50	60087
all	all	all	all	contig-L50	4136
all	all	all	all	total-gap-length	71062789
all	all	all	all	molecule-count	13
all	all	all	all	top-level-count	13
all	all	all	all	component-count	13
Primary Assembly	all	all	all	total-length	926426464
Primary Assembly	all	all	all	ungapped-length	855363675
Primary Assembly	all	all	all	spanned-gaps	30741
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	926426464
Primary Assembly	all	all	assembled-molecule	ungapped-length	855363675
Primary Assembly	all	all	assembled-molecule	spanned-gaps	30741
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	109333515
Primary Assembly	1	Chromosome	all	ungapped-length	101704730
Primary Assembly	1	Chromosome	all	spanned-gaps	3769
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	109333515
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	101704730
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	3769
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
