# Assembly Statistics Report
# Assembly name:  ASM303369v1
# Organism name:  Nelumbo nucifera (sacred lotus)
# Infraspecific name:  cultivar=Chinese Tai-zi lotus
# Taxid:          4432
# BioSample:      SAMN03267314
# BioProject:     PRJNA397371
# Submitter:      Wuhan University
# Date:           2018-04-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    DLUA01
# Assembly method: SOAPdenovo v. 2.01; ALLMAPS v. June-2017
# Expected final version: no
# Genome coverage: 90.0x
# Sequencing technology: Illumina HiSeq
# GenBank assembly accession: GCA_003033695.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003033805.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	799478784
all	all	all	all	spanned-gaps	39553
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	12643
all	all	all	all	scaffold-N50	104033818
all	all	all	all	scaffold-L50	3
all	all	all	all	scaffold-N75	67906199
all	all	all	all	scaffold-N90	60749257
all	all	all	all	contig-count	52196
all	all	all	all	contig-N50	39837
all	all	all	all	contig-L50	5911
all	all	all	all	total-gap-length	27168326
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	12643
all	all	all	all	component-count	12643
Primary Assembly	all	all	all	total-length	799478784
Primary Assembly	all	all	all	ungapped-length	772310458
Primary Assembly	all	all	all	scaffold-count	12643
Primary Assembly	all	all	all	scaffold-N50	104033818
Primary Assembly	all	all	all	spanned-gaps	39553
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	782764078
Primary Assembly	all	all	assembled-molecule	ungapped-length	756305649
Primary Assembly	all	all	assembled-molecule	scaffold-count	8
Primary Assembly	all	all	assembled-molecule	scaffold-N50	104033818
Primary Assembly	all	all	assembled-molecule	spanned-gaps	38381
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	16714706
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	16004809
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	12635
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	7417
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1172
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	207008127
Primary Assembly	1	Chromosome	all	ungapped-length	199723421
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	207008127
Primary Assembly	1	Chromosome	all	spanned-gaps	10608
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	207008127
