# Assembly Statistics Report
# Assembly name:  Lsat_Salinas_v7
# Organism name:  Lactuca sativa (eudicots)
# Infraspecific name:  cultivar=Salinas
# Taxid:          4236
# BioSample:      SAMN01730979
# BioProject:     PRJNA173551
# Submitter:      Lettuce Genome Sequencing Consortium
# Date:           2020-04-13
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    NBSK01
# Assembly method: SOAPdenovo v. 2; Hi-Rise v. 1
# Expected final version: yes
# Genome coverage: 72.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002870075.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002870085.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2391062152
all	all	all	all	spanned-gaps	157100
all	all	all	all	unspanned-gaps	3138
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	11452
all	all	all	all	scaffold-N50	1769135
all	all	all	all	scaffold-L50	386
all	all	all	all	scaffold-N75	824441
all	all	all	all	scaffold-N90	362387
all	all	all	all	contig-count	168552
all	all	all	all	contig-N50	28335
all	all	all	all	contig-L50	23487
all	all	all	all	total-gap-length	181449963
all	all	all	all	molecule-count	9
all	all	all	all	top-level-count	8323
all	all	all	all	component-count	11452
Primary Assembly	all	all	all	total-length	2391062152
Primary Assembly	all	all	all	ungapped-length	2209612189
Primary Assembly	all	all	all	scaffold-count	11452
Primary Assembly	all	all	all	scaffold-N50	1769135
Primary Assembly	all	all	all	spanned-gaps	157100
Primary Assembly	all	all	all	unspanned-gaps	3138
Primary Assembly	all	all	assembled-molecule	total-length	2309820535
Primary Assembly	all	all	assembled-molecule	ungapped-length	2135983487
Primary Assembly	all	all	assembled-molecule	scaffold-count	3138
Primary Assembly	all	all	assembled-molecule	scaffold-N50	1814380
Primary Assembly	all	all	assembled-molecule	spanned-gaps	148724
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	3138
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	81241617
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	73628702
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	8314
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	289413
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	8376
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	214790941
Primary Assembly	1	Chromosome	all	ungapped-length	198426925
Primary Assembly	1	Chromosome	all	scaffold-count	342
