# Assembly Statistics Report
# Assembly name:  ASM1418930v1
# Organism name:  Solanum tuberosum (potato)
# Infraspecific name:  cultivar=RH89-039-16
# Taxid:          4113
# BioSample:      SAMN12826500
# BioProject:     PRJNA646008
# Submitter:      Chinese Academy of Agricultural Sciences
# Date:           2020-08-14
# Assembly type:  alternate-pseudohaplotype
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JACDXM01
# Assembly method: canu v. 1.9; SMARTdenovo v. FEB-2018; wtdbg2 v. 2.5; Flye v. 2.4.2; DISCOVAR v. MAR-2015
# Expected final version: yes
# Genome coverage: 1.0x
# Sequencing technology: PacBio Sequel II; Oxford Nanopore; Illumina
# GenBank assembly accession: GCA_014189305.1
# Linked assembly: GCA_014189475.1 (principal pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014189315.1		Primary Assembly
## GCA_014189325.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	863432374
all	all	all	all	spanned-gaps	4397
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	3012
all	all	all	all	scaffold-N50	66706574
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	55732883
all	all	all	all	scaffold-N90	47857541
all	all	all	all	contig-count	7409
all	all	all	all	contig-N50	1743823
all	all	all	all	contig-L50	103
all	all	all	all	total-gap-length	438344
all	all	all	all	molecule-count	13
all	all	all	all	top-level-count	3012
all	all	all	all	component-count	3012
Primary Assembly	all	all	all	total-length	862534092
Primary Assembly	all	all	all	ungapped-length	862095909
Primary Assembly	all	all	all	scaffold-count	2978
Primary Assembly	all	all	all	scaffold-N50	66706574
Primary Assembly	all	all	all	spanned-gaps	4394
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	799686595
Primary Assembly	all	all	assembled-molecule	ungapped-length	799250422
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	66706574
Primary Assembly	all	all	assembled-molecule	spanned-gaps	4373
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	62847497
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	62845487
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2966
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	22041
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	21
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	97287411
Primary Assembly	1	Chromosome	all	ungapped-length	97246011
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	97287411
Primary Assembly	1	Chromosome	all	spanned-gaps	414
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	97287411
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	97246011
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	97287411
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	414
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	47857541
Primary Assembly	2	Chromosome	all	ungapped-length	47836131
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	47857541
Primary Assembly	2	Chromosome	all	spanned-gaps	215
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	47857541
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	47836131
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	47857541
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	215
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	67071493
