# Assembly Statistics Report
# Assembly name:  ASM289544v2
# Organism name:  Panicum miliaceum (monocots)
# Infraspecific name:  cultivar=Longmi4
# Taxid:          4540
# BioSample:      SAMN08335224
# BioProject:     PRJNA429322
# Submitter:      China Agricultural University
# Date:           2018-07-10
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    PPDP02
# Assembly method: FALCON v. v1.8.7; LACHESIS v. April-2017
# Expected final version: no
# Genome coverage: 170.0x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002895445.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002895475.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	848351880
all	all	all	all	spanned-gaps	829
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	466
all	all	all	all	scaffold-N50	48259421
all	all	all	all	scaffold-L50	8
all	all	all	all	scaffold-N75	40720392
all	all	all	all	scaffold-N90	33613985
all	all	all	all	contig-count	1295
all	all	all	all	contig-N50	2552491
all	all	all	all	contig-L50	87
all	all	all	all	total-gap-length	9465347
all	all	all	all	molecule-count	18
all	all	all	all	top-level-count	466
all	all	all	all	component-count	466
Primary Assembly	all	all	all	total-length	848351880
Primary Assembly	all	all	all	ungapped-length	838886533
Primary Assembly	all	all	all	scaffold-count	466
Primary Assembly	all	all	all	scaffold-N50	48259421
Primary Assembly	all	all	all	spanned-gaps	829
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	838873930
Primary Assembly	all	all	assembled-molecule	ungapped-length	829408583
Primary Assembly	all	all	assembled-molecule	scaffold-count	18
Primary Assembly	all	all	assembled-molecule	scaffold-N50	48259421
Primary Assembly	all	all	assembled-molecule	spanned-gaps	829
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	9477950
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	9477950
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	448
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	28187
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	69183459
Primary Assembly	1	Chromosome	all	ungapped-length	67843739
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	69183459
Primary Assembly	1	Chromosome	all	spanned-gaps	85
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	69183459
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	67843739
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	69183459
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	85
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
