# Assembly Statistics Report
# Assembly name:  ASM980554v1
# Organism name:  Oryza longistaminata (monocots)
# Isolate:  w11
# Taxid:          4528
# BioSample:      SAMN11931165
# BioProject:     PRJNA545798
# Submitter:      South China Agricultural University
# Date:           2019-12-31
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WNHE01
# Assembly method: AllPaths v. Release 37250; PBjelly v. 2
# Expected final version: no
# Reference guided assembly: GCF_001433935.1
# Genome coverage: 442.0x
# Sequencing technology: Illumina HiSeq; PacBio RSII
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_009805545.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_009805575.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	371348348
all	all	all	all	spanned-gaps	13605
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1009
all	all	all	all	scaffold-N50	33924873
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	24070047
all	all	all	all	scaffold-N90	19397591
all	all	all	all	contig-count	14614
all	all	all	all	contig-N50	45317
all	all	all	all	contig-L50	2381
all	all	all	all	total-gap-length	8534722
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	1009
all	all	all	all	component-count	1009
Primary Assembly	all	all	all	total-length	371348348
Primary Assembly	all	all	all	ungapped-length	362813626
Primary Assembly	all	all	all	scaffold-count	1009
Primary Assembly	all	all	all	scaffold-N50	33924873
Primary Assembly	all	all	all	spanned-gaps	13605
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	364829445
Primary Assembly	all	all	assembled-molecule	ungapped-length	356490589
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	33924873
Primary Assembly	all	all	assembled-molecule	spanned-gaps	13400
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	6518903
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	6323037
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	997
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	16853
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	205
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	47172414
Primary Assembly	1	Chromosome	all	ungapped-length	46132477
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	47172414
Primary Assembly	1	Chromosome	all	spanned-gaps	1732
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	47172414
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	46132477
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	47172414
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	1732
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	47119111
Primary Assembly	2	Chromosome	all	ungapped-length	46055010
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	47119111
Primary Assembly	2	Chromosome	all	spanned-gaps	1683
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	47119111
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	46055010
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	47119111
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	1683
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	40086801
Primary Assembly	3	Chromosome	all	ungapped-length	39260707
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	40086801
