# Assembly Statistics Report
# Assembly name:  Haihua1_v1
# Organism name:  Arachis hypogaea (peanut)
# Infraspecific name:  cultivar=Haihua1
# Taxid:          3818
# BioSample:      SAMN16925142
# BioProject:     PRJNA680825
# Submitter:      BGI-Qingdao
# Date:           2020-12-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JADWDE01
# Assembly method: Canu v. 1.5
# Expected final version: no
# Genome coverage: 102.98x
# Sequencing technology: Oxford Nanopore
# GenBank assembly accession: GCA_016103905.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_016103915.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2490838411
all	all	all	all	spanned-gaps	432
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	223
all	all	all	all	scaffold-N50	131078573
all	all	all	all	scaffold-L50	9
all	all	all	all	scaffold-N75	113877391
all	all	all	all	scaffold-N90	98561329
all	all	all	all	contig-count	655
all	all	all	all	contig-N50	9813388
all	all	all	all	contig-L50	75
all	all	all	all	total-gap-length	43200
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	223
all	all	all	all	component-count	223
Primary Assembly	all	all	all	total-length	2490838411
Primary Assembly	all	all	all	ungapped-length	2490795211
Primary Assembly	all	all	all	scaffold-count	223
Primary Assembly	all	all	all	scaffold-N50	131078573
Primary Assembly	all	all	all	spanned-gaps	432
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2448250183
Primary Assembly	all	all	assembled-molecule	ungapped-length	2448206983
Primary Assembly	all	all	assembled-molecule	scaffold-count	20
Primary Assembly	all	all	assembled-molecule	scaffold-N50	131078573
Primary Assembly	all	all	assembled-molecule	spanned-gaps	432
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	39406964
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	39406964
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	191
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	258984
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	3181264
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	3181264
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	12
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	387106
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	A01	Chromosome	all	total-length	109601918
