# Assembly Statistics Report
# Assembly name:  UCD10Xv1.0
# Organism name:  Capsicum annuum (eudicots)
# Infraspecific name:  cultivar=UCD-10X-F1
# Taxid:          4072
# BioSample:      SAMN06445824
# BioProject:     PRJNA376668
# Submitter:      University of California, Davis
# Date:           2018-01-30
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    NPHV01
# Assembly method: Supernova v. 1.1-Chili-Pepper
# Expected final version: yes
# Genome coverage: 56.0x
# Sequencing technology: Illumina HiSeq
# GenBank assembly accession: GCA_002878395.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002878405.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3212117706
all	all	all	all	spanned-gaps	52723
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	134101
all	all	all	all	contig-N50	122785
all	all	all	all	contig-L50	6631
all	all	all	all	total-gap-length	87799888
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	81378
all	all	all	all	component-count	81378
Primary Assembly	all	all	all	total-length	3212117706
Primary Assembly	all	all	all	ungapped-length	3124317818
Primary Assembly	all	all	all	spanned-gaps	52723
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2672115314
Primary Assembly	all	all	assembled-molecule	ungapped-length	2599107518
Primary Assembly	all	all	assembled-molecule	spanned-gaps	38865
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	540002392
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	525210300
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	13858
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	255602192
Primary Assembly	1	Chromosome	all	ungapped-length	247646061
Primary Assembly	1	Chromosome	all	spanned-gaps	4197
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	255602192
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	247646061
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	4197
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
