# Assembly Statistics Report
# Assembly name:  aradu.V14167.gnm2.J7QH
# Organism name:  Arachis duranensis (eudicots)
# Infraspecific name:  cultivar=V14167
# Taxid:          130453
# BioSample:      SAMN02982871
# BioProject:     PRJNA258023
# Submitter:      The International Peanut Genome Initiative
# Date:           2020-09-15
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JQIN02
# Assembly method: SOAPdenovo v. 2.05
# Expected final version: yes
# Genome coverage: 260.0x
# Sequencing technology: Illumina HiSeq; Moleculo long reads
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000817695.3
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000817705.3		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1081735204
all	all	all	all	spanned-gaps	130691
all	all	all	all	unspanned-gaps	8
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1588
all	all	all	all	scaffold-N50	108052799
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	78749368
all	all	all	all	scaffold-N90	18705756
all	all	all	all	contig-count	132279
all	all	all	all	contig-N50	24723
all	all	all	all	contig-L50	11087
all	all	all	all	total-gap-length	130015313
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	1580
all	all	all	all	component-count	1588
Primary Assembly	all	all	all	total-length	1081735204
Primary Assembly	all	all	all	ungapped-length	951719891
Primary Assembly	all	all	all	scaffold-count	1588
Primary Assembly	all	all	all	scaffold-N50	108052799
Primary Assembly	all	all	all	spanned-gaps	130691
Primary Assembly	all	all	all	unspanned-gaps	8
Primary Assembly	all	all	assembled-molecule	total-length	1030868929
Primary Assembly	all	all	assembled-molecule	ungapped-length	915722771
Primary Assembly	all	all	assembled-molecule	scaffold-count	18
Primary Assembly	all	all	assembled-molecule	scaffold-N50	108052799
Primary Assembly	all	all	assembled-molecule	spanned-gaps	123342
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	8
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	50866275
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	35997120
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1570
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	51926
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	7349
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	106063421
Primary Assembly	1	Chromosome	all	ungapped-length	97395328
Primary Assembly	1	Chromosome	all	scaffold-count	5
Primary Assembly	1	Chromosome	all	scaffold-N50	72130412
Primary Assembly	1	Chromosome	all	spanned-gaps	11126
Primary Assembly	1	Chromosome	all	unspanned-gaps	4
Primary Assembly	1	Chromosome	assembled-molecule	total-length	106063421
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	97395328
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	5
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	72130412
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	11126
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	4
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	93849414
Primary Assembly	2	Chromosome	all	ungapped-length	81353171
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	93849414
Primary Assembly	2	Chromosome	all	spanned-gaps	12240
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	93849414
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	81353171
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	93849414
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	12240
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	135323197
Primary Assembly	3	Chromosome	all	ungapped-length	120562146
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	135323197
Primary Assembly	3	Chromosome	all	spanned-gaps	15836
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	135323197
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	120562146
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	135323197
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	15836
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	121991358
Primary Assembly	4	Chromosome	all	ungapped-length	106641217
Primary Assembly	4	Chromosome	all	scaffold-count	1
Primary Assembly	4	Chromosome	all	scaffold-N50	121991358
Primary Assembly	4	Chromosome	all	spanned-gaps	15689
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	total-length	121991358
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	106641217
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	121991358
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	15689
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	108052799
Primary Assembly	5	Chromosome	all	ungapped-length	95762623
Primary Assembly	5	Chromosome	all	scaffold-count	1
Primary Assembly	5	Chromosome	all	scaffold-N50	108052799
Primary Assembly	5	Chromosome	all	spanned-gaps	12860
Primary Assembly	5	Chromosome	all	unspanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	total-length	108052799
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	95762623
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-N50	108052799
Primary Assembly	5	Chromosome	assembled-molecule	spanned-gaps	12860
Primary Assembly	5	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	6	Chromosome	all	total-length	111137723
Primary Assembly	6	Chromosome	all	ungapped-length	97661248
Primary Assembly	6	Chromosome	all	scaffold-count	1
Primary Assembly	6	Chromosome	all	scaffold-N50	111137723
Primary Assembly	6	Chromosome	all	spanned-gaps	13777
Primary Assembly	6	Chromosome	all	unspanned-gaps	0
Primary Assembly	6	Chromosome	assembled-molecule	total-length	111137723
Primary Assembly	6	Chromosome	assembled-molecule	ungapped-length	97661248
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-N50	111137723
Primary Assembly	6	Chromosome	assembled-molecule	spanned-gaps	13777
Primary Assembly	6	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	7	Chromosome	all	total-length	78749368
Primary Assembly	7	Chromosome	all	ungapped-length	69828897
Primary Assembly	7	Chromosome	all	scaffold-count	1
Primary Assembly	7	Chromosome	all	scaffold-N50	78749368
Primary Assembly	7	Chromosome	all	spanned-gaps	9480
Primary Assembly	7	Chromosome	all	unspanned-gaps	0
Primary Assembly	7	Chromosome	assembled-molecule	total-length	78749368
Primary Assembly	7	Chromosome	assembled-molecule	ungapped-length	69828897
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-N50	78749368
Primary Assembly	7	Chromosome	assembled-molecule	spanned-gaps	9480
Primary Assembly	7	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	spanned-gaps	0
