# Assembly Statistics Report
# Assembly name:  Zm-Il14H-REFERENCE-NAM-1.0
# Organism name:  Zea mays (maize)
# Infraspecific name:  cultivar=Il14H
# Taxid:          4577
# BioSample:      SAMEA5313308
# BioProject:     PRJEB31061
# Submitter:      MaizeGDB
# Date:           2020-03-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CABHKY01
# Genome coverage: 86x
# GenBank assembly accession: GCA_902167065.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_902167064.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2124542321
all	all	all	all	spanned-gaps	746
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	282
all	all	all	all	scaffold-N50	223857433
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	176702731
all	all	all	all	scaffold-N90	164981298
all	all	all	all	contig-count	1028
all	all	all	all	contig-N50	19062462
all	all	all	all	contig-L50	33
all	all	all	all	total-gap-length	3365301
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	282
all	all	all	all	component-count	297
Primary Assembly	all	all	all	total-length	2124542321
Primary Assembly	all	all	all	ungapped-length	2121177020
Primary Assembly	all	all	all	scaffold-count	282
Primary Assembly	all	all	all	scaffold-N50	223857433
Primary Assembly	all	all	all	spanned-gaps	746
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2102613139
Primary Assembly	all	all	assembled-molecule	ungapped-length	2099247851
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	223857433
Primary Assembly	all	all	assembled-molecule	spanned-gaps	745
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	21929182
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	21929169
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	272
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	90325
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	300415183
Primary Assembly	1	Chromosome	all	ungapped-length	300112704
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	300415183
Primary Assembly	1	Chromosome	all	spanned-gaps	71
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	300415183
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	300112704
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	300415183
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	71
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	244154994
Primary Assembly	2	Chromosome	all	ungapped-length	243941187
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	244154994
Primary Assembly	2	Chromosome	all	spanned-gaps	38
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	244154994
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	243941187
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	244154994
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	38
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
