# Assembly Statistics Report
# Assembly name:  Oryza_brachyantha.v1.4b
# Organism name:  Oryza brachyantha (malo sina)
# Taxid:          4533
# BioSample:      SAMN02981362
# BioProject:     PRJNA70533
# Submitter:      The Institute of Genetics and Developmental Biology
# Date:           2012-01-19
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AGAT01
# Assembly method: SOAPdenovo v. 1.04
# Genome coverage: 104x
# Sequencing technology: Illumina GA II
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000231095.2
# RefSeq assembly accession: GCF_000231095.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000231105.2	GCF_000231105.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	259907595
all	all	all	all	spanned-gaps	20693
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2491
all	all	all	all	scaffold-N50	21479432
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	16001410
all	all	all	all	scaffold-N90	14643570
all	all	all	all	contig-count	23184
all	all	all	all	contig-N50	20448
all	all	all	all	contig-L50	3584
all	all	all	all	total-gap-length	17431658
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	2491
all	all	all	all	component-count	23184
Primary Assembly	all	all	all	total-length	259907595
Primary Assembly	all	all	all	ungapped-length	242475937
Primary Assembly	all	all	all	scaffold-count	2491
Primary Assembly	all	all	all	scaffold-N50	21479432
Primary Assembly	all	all	all	spanned-gaps	20693
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	250923338
Primary Assembly	all	all	assembled-molecule	ungapped-length	234682647
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	21479432
Primary Assembly	all	all	assembled-molecule	spanned-gaps	19749
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	8984257
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	7793290
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2479
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	37225
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	944
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	33916305
Primary Assembly	1	Chromosome	all	ungapped-length	32063385
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	33916305
Primary Assembly	1	Chromosome	all	spanned-gaps	2462
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	33916305
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	32063385
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	33916305
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	2462
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	27082872
Primary Assembly	2	Chromosome	all	ungapped-length	25366203
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	27082872
Primary Assembly	2	Chromosome	all	spanned-gaps	2166
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	27082872
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	25366203
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	27082872
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	2166
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	29620734
Primary Assembly	3	Chromosome	all	ungapped-length	27851503
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	29620734
Primary Assembly	3	Chromosome	all	spanned-gaps	2341
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	29620734
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	27851503
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	29620734
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	2341
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
