# Assembly Statistics Report
# Assembly name:  Pop_tri_v3
# Organism name:  Populus trichocarpa (black cottonwood)
# Isolate:  Nisqually-1
# Taxid:          3694
# BioSample:      SAMN02953657
# BioProject:     PRJNA10772
# Submitter:      US DOE Joint Genome Institute (JGI
# Date:           2018-01-24
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AARH03
# Assembly method: ARACHNE_modified v. 200721016
# Genome coverage: 8x
# Sequencing technology: Sanger; Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002775.3
# RefSeq assembly accession: GCF_000002775.4
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000955.3	GCF_000000955.4	Primary Assembly
## 	GCF_000234565.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	434132815
all	all	all	all	spanned-gaps	6624
all	all	all	all	unspanned-gaps	247
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1693
all	all	all	all	scaffold-N50	2158892
all	all	all	all	scaffold-L50	53
all	all	all	all	scaffold-N75	1035095
all	all	all	all	scaffold-N90	362833
all	all	all	all	contig-count	8317
all	all	all	all	contig-N50	552806
all	all	all	all	contig-L50	206
all	all	all	all	total-gap-length	11192221
all	all	all	all	molecule-count	19
all	all	all	all	top-level-count	1446
all	all	all	all	component-count	8317
Primary Assembly	all	all	all	total-length	434132815
Primary Assembly	all	all	all	ungapped-length	422940594
Primary Assembly	all	all	all	scaffold-count	1693
Primary Assembly	all	all	all	scaffold-N50	2158892
Primary Assembly	all	all	all	spanned-gaps	6624
Primary Assembly	all	all	all	unspanned-gaps	247
Primary Assembly	all	all	assembled-molecule	total-length	394507731
Primary Assembly	all	all	assembled-molecule	ungapped-length	387931917
Primary Assembly	all	all	assembled-molecule	scaffold-count	266
Primary Assembly	all	all	assembled-molecule	scaffold-N50	2373949
Primary Assembly	all	all	assembled-molecule	spanned-gaps	3378
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	247
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	39625084
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	35008677
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1427
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	129782
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	3246
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	50495391
Primary Assembly	1	Chromosome	all	ungapped-length	49860949
Primary Assembly	1	Chromosome	all	scaffold-count	28
Primary Assembly	1	Chromosome	all	scaffold-N50	3569291
Primary Assembly	1	Chromosome	all	spanned-gaps	371
