# Assembly Statistics Report
# Assembly name:  Cara_1.0
# Organism name:  Coffea arabica (coffee)
# Infraspecific name:  cultivar=Caturra red
# Isolate:  CCC135-36
# Sex:  hermaphrodite
# Taxid:          13443
# BioSample:      SAMN10272287
# BioProject:     PRJNA497895
# Submitter:      Johns Hopkins University
# Date:           2018-11-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    RHJU01
# Assembly method: MaSuRCA v. 3.2.4; FALCON-Unzip v. 0.9
# Expected final version: yes
# Genome coverage: 160.0x
# Sequencing technology: Illumina HiSeq; PacBio RSII; 10x GemCode
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_003713225.1
# RefSeq assembly accession: GCF_003713225.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003713255.1	GCF_003713255.1	Primary Assembly
## 	GCF_003833365.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1094291418
all	all	all	all	spanned-gaps	690
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2832
all	all	all	all	scaffold-N50	42465768
all	all	all	all	scaffold-L50	11
all	all	all	all	scaffold-N75	38064651
all	all	all	all	scaffold-N90	35392230
all	all	all	all	contig-count	3522
all	all	all	all	contig-N50	3917557
all	all	all	all	contig-L50	70
all	all	all	all	total-gap-length	2272353
all	all	all	all	molecule-count	22
all	all	all	all	top-level-count	2832
all	all	all	all	component-count	2832
Primary Assembly	all	all	all	total-length	1094291418
Primary Assembly	all	all	all	ungapped-length	1092019065
Primary Assembly	all	all	all	scaffold-count	2832
Primary Assembly	all	all	all	scaffold-N50	42465768
Primary Assembly	all	all	all	spanned-gaps	690
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	989921890
Primary Assembly	all	all	assembled-molecule	ungapped-length	987980456
Primary Assembly	all	all	assembled-molecule	scaffold-count	22
Primary Assembly	all	all	assembled-molecule	scaffold-N50	42507429
Primary Assembly	all	all	assembled-molecule	spanned-gaps	623
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	104369528
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	104038609
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2810
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	50067
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	67
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1c	Chromosome	all	total-length	50636588
Primary Assembly	1c	Chromosome	all	ungapped-length	50390919
Primary Assembly	1c	Chromosome	all	scaffold-count	1
Primary Assembly	1c	Chromosome	all	scaffold-N50	50636588
Primary Assembly	1c	Chromosome	all	spanned-gaps	84
Primary Assembly	1c	Chromosome	all	unspanned-gaps	0
Primary Assembly	1c	Chromosome	assembled-molecule	total-length	50636588
