# Assembly Statistics Report
# Assembly name:  Zm-CML52-REFERENCE-NAM-2.1
# Organism name:  Zea mays (maize)
# Infraspecific name:  cultivar=CML52
# Taxid:          4577
# BioSample:      SAMEA5313299
# BioProject:     PRJEB31061
# Submitter:      MaizeGDB
# Date:           2020-03-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CABKOH01
# Genome coverage: 69x
# GenBank assembly accession: GCA_902373975.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_902373974.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2307686232
all	all	all	all	spanned-gaps	3349
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1682
all	all	all	all	scaffold-N50	225958827
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	176787762
all	all	all	all	scaffold-N90	152931176
all	all	all	all	contig-count	5031
all	all	all	all	contig-N50	11020605
all	all	all	all	contig-L50	60
all	all	all	all	total-gap-length	21595250
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	1682
all	all	all	all	component-count	1708
Primary Assembly	all	all	all	total-length	2307686232
Primary Assembly	all	all	all	ungapped-length	2286090982
Primary Assembly	all	all	all	scaffold-count	1682
Primary Assembly	all	all	all	scaffold-N50	225958827
Primary Assembly	all	all	all	spanned-gaps	3349
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2149156395
Primary Assembly	all	all	assembled-molecule	ungapped-length	2128444095
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	225958827
Primary Assembly	all	all	assembled-molecule	spanned-gaps	3177
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	158529837
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	157646887
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1672
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	137366
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	172
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
