# Assembly Statistics Report
# Assembly name:  A_alpina_V4
# Organism name:  Arabis alpina (gray rockcress)
# Infraspecific name:  cultivar=Pajares
# Taxid:          50452
# BioSample:      SAMN02689159
# BioProject:     PRJNA241291
# Submitter:      TRANSNET
# Date:           2014-08-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JNGA01
# Assembly method: Newbler v. 2.9; SSPACE v. 1.2; BAMBUS v. 2.33
# Expected final version: yes
# Genome coverage: 140.0x
# Sequencing technology: 454; Illumina GAIIx; Sanger
# GenBank assembly accession: GCA_000733195.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000733205.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	308032609
all	all	all	all	spanned-gaps	55994
all	all	all	all	unspanned-gaps	8
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	27779
all	all	all	all	scaffold-N50	13663266
all	all	all	all	scaffold-L50	9
all	all	all	all	scaffold-N75	9141544
all	all	all	all	scaffold-N90	12928
all	all	all	all	contig-count	83773
all	all	all	all	contig-N50	9916
all	all	all	all	contig-L50	8143
all	all	all	all	total-gap-length	26891587
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	27771
all	all	all	all	component-count	83773
Primary Assembly	all	all	all	total-length	308032609
Primary Assembly	all	all	all	ungapped-length	281141022
Primary Assembly	all	all	all	scaffold-count	27779
Primary Assembly	all	all	all	scaffold-N50	13663266
Primary Assembly	all	all	all	spanned-gaps	55994
Primary Assembly	all	all	all	unspanned-gaps	8
Primary Assembly	all	all	assembled-molecule	total-length	234757165
Primary Assembly	all	all	assembled-molecule	ungapped-length	214998657
Primary Assembly	all	all	assembled-molecule	scaffold-count	16
Primary Assembly	all	all	assembled-molecule	scaffold-N50	15234334
Primary Assembly	all	all	assembled-molecule	spanned-gaps	38088
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	8
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	73275444
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	66142365
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	27763
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	21984
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	17906
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	25238555
Primary Assembly	1	Chromosome	all	ungapped-length	23199943
Primary Assembly	1	Chromosome	all	scaffold-count	2
