# Assembly Statistics Report
# Assembly name:  Brachypodium_distachyon_v3.0
# Organism name:  Brachypodium distachyon (stiff brome)
# Infraspecific name:  strain=Bd21
# Taxid:          15368
# BioSample:      SAMN02981254
# BioProject:     PRJNA32607
# Submitter:      JGI-PGF
# Date:           2018-01-24
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    ADDN03
# Assembly method: ARACHNE v. 20071016_modified
# Genome coverage: 9.43x
# Sequencing technology: ABI 3739
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000005505.4
# RefSeq assembly accession: GCF_000005505.3
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000005515.4	GCF_000005515.3	Primary Assembly
## 	GCF_000114255.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	271163419
all	all	all	all	spanned-gaps	21
all	all	all	all	unspanned-gaps	4
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	14
all	all	all	all	scaffold-N50	30223662
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	27748311
all	all	all	all	scaffold-N90	25257007
all	all	all	all	contig-count	35
all	all	all	all	contig-N50	21988513
all	all	all	all	contig-L50	5
all	all	all	all	total-gap-length	423958
all	all	all	all	molecule-count	5
all	all	all	all	top-level-count	10
all	all	all	all	component-count	35
Primary Assembly	all	all	all	total-length	271163419
Primary Assembly	all	all	all	ungapped-length	270739461
Primary Assembly	all	all	all	scaffold-count	14
Primary Assembly	all	all	all	scaffold-N50	30223662
Primary Assembly	all	all	all	spanned-gaps	21
Primary Assembly	all	all	all	unspanned-gaps	4
Primary Assembly	all	all	assembled-molecule	total-length	271067295
Primary Assembly	all	all	assembled-molecule	ungapped-length	270643337
Primary Assembly	all	all	assembled-molecule	scaffold-count	9
Primary Assembly	all	all	assembled-molecule	scaffold-N50	30223662
Primary Assembly	all	all	assembled-molecule	spanned-gaps	21
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	4
Primary Assembly	all	all	unlocalized-scaffold	total-length	46184
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	46184
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	1
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	46184
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	49940
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	49940
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	4
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	20560
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	75117729
Primary Assembly	1	Chromosome	all	ungapped-length	75017729
Primary Assembly	1	Chromosome	all	scaffold-count	3
Primary Assembly	1	Chromosome	all	scaffold-N50	37944854
Primary Assembly	1	Chromosome	all	spanned-gaps	0
Primary Assembly	1	Chromosome	all	unspanned-gaps	1
Primary Assembly	1	Chromosome	assembled-molecule	total-length	75071545
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	74971545
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	2
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	37944854
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	1
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	46184
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	46184
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	46184
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	59130575
Primary Assembly	2	Chromosome	all	ungapped-length	59030475
Primary Assembly	2	Chromosome	all	scaffold-count	2
Primary Assembly	2	Chromosome	all	scaffold-N50	30223662
Primary Assembly	2	Chromosome	all	spanned-gaps	1
Primary Assembly	2	Chromosome	all	unspanned-gaps	1
Primary Assembly	2	Chromosome	assembled-molecule	total-length	59130575
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	59030475
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	2
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	30223662
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	1
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	1
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
