# Assembly Statistics Report
# Assembly name:  ASM698077v1
# Organism name:  Gossypium hirsutum (cotton)
# Infraspecific name:  cultivar=ZM24
# Taxid:          3635
# BioSample:      SAMN10345424
# BioProject:     PRJNA503326
# Submitter:      Chinese Academy of Agricultural Sciences
# Date:           2019-07-29
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VCQX01
# Assembly method: Canu v. 1.5
# Expected final version: no
# Genome coverage: 0.97x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_006980775.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_006980815.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2308215698
all	all	all	all	spanned-gaps	1470
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2238
all	all	all	all	scaffold-N50	93248268
all	all	all	all	scaffold-L50	11
all	all	all	all	scaffold-N75	62317630
all	all	all	all	scaffold-N90	53049694
all	all	all	all	contig-count	3708
all	all	all	all	contig-N50	1982520
all	all	all	all	contig-L50	307
all	all	all	all	total-gap-length	147000
all	all	all	all	molecule-count	26
all	all	all	all	top-level-count	2238
all	all	all	all	component-count	2238
Primary Assembly	all	all	all	total-length	2308215698
Primary Assembly	all	all	all	ungapped-length	2308068698
Primary Assembly	all	all	all	scaffold-count	2238
Primary Assembly	all	all	all	scaffold-N50	93248268
Primary Assembly	all	all	all	spanned-gaps	1470
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2150228884
Primary Assembly	all	all	assembled-molecule	ungapped-length	2150081884
Primary Assembly	all	all	assembled-molecule	scaffold-count	26
Primary Assembly	all	all	assembled-molecule	scaffold-N50	102340594
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1470
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	157986814
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	157986814
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2212
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	155250
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	A01	Chromosome	all	total-length	112577161
Primary Assembly	A01	Chromosome	all	ungapped-length	112567661
Primary Assembly	A01	Chromosome	all	scaffold-count	1
Primary Assembly	A01	Chromosome	all	scaffold-N50	112577161
Primary Assembly	A01	Chromosome	all	spanned-gaps	95
Primary Assembly	A01	Chromosome	all	unspanned-gaps	0
Primary Assembly	A01	Chromosome	assembled-molecule	total-length	112577161
Primary Assembly	A01	Chromosome	assembled-molecule	ungapped-length	112567661
Primary Assembly	A01	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A01	Chromosome	assembled-molecule	scaffold-N50	112577161
Primary Assembly	A01	Chromosome	assembled-molecule	spanned-gaps	95
Primary Assembly	A01	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A02	Chromosome	all	total-length	104266397
Primary Assembly	A02	Chromosome	all	ungapped-length	104259997
Primary Assembly	A02	Chromosome	all	scaffold-count	1
Primary Assembly	A02	Chromosome	all	scaffold-N50	104266397
Primary Assembly	A02	Chromosome	all	spanned-gaps	64
Primary Assembly	A02	Chromosome	all	unspanned-gaps	0
Primary Assembly	A02	Chromosome	assembled-molecule	total-length	104266397
Primary Assembly	A02	Chromosome	assembled-molecule	ungapped-length	104259997
Primary Assembly	A02	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A02	Chromosome	assembled-molecule	scaffold-N50	104266397
Primary Assembly	A02	Chromosome	assembled-molecule	spanned-gaps	64
Primary Assembly	A02	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A03	Chromosome	all	total-length	105393268
Primary Assembly	A03	Chromosome	all	ungapped-length	105385168
Primary Assembly	A03	Chromosome	all	scaffold-count	1
Primary Assembly	A03	Chromosome	all	scaffold-N50	105393268
Primary Assembly	A03	Chromosome	all	spanned-gaps	81
Primary Assembly	A03	Chromosome	all	unspanned-gaps	0
Primary Assembly	A03	Chromosome	assembled-molecule	total-length	105393268
Primary Assembly	A03	Chromosome	assembled-molecule	ungapped-length	105385168
Primary Assembly	A03	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A03	Chromosome	assembled-molecule	scaffold-N50	105393268
Primary Assembly	A03	Chromosome	assembled-molecule	spanned-gaps	81
Primary Assembly	A03	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A04	Chromosome	all	total-length	80868428
Primary Assembly	A04	Chromosome	all	ungapped-length	80861128
Primary Assembly	A04	Chromosome	all	scaffold-count	1
Primary Assembly	A04	Chromosome	all	scaffold-N50	80868428
Primary Assembly	A04	Chromosome	all	spanned-gaps	73
Primary Assembly	A04	Chromosome	all	unspanned-gaps	0
Primary Assembly	A04	Chromosome	assembled-molecule	total-length	80868428
Primary Assembly	A04	Chromosome	assembled-molecule	ungapped-length	80861128
Primary Assembly	A04	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A04	Chromosome	assembled-molecule	scaffold-N50	80868428
Primary Assembly	A04	Chromosome	assembled-molecule	spanned-gaps	73
Primary Assembly	A04	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A04	Chromosome	unlocalized-scaffold	total-length	0
