# Assembly Statistics Report
# Assembly name:  ASM51225v2
# Organism name:  Capsicum annuum (eudicots)
# Infraspecific name:  cultivar=CM334
# Taxid:          4072
# BioSample:      SAMN02981571
# BioProject:     PRJNA223222
# Submitter:      Seoul National University
# Date:           2017-10-30
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AYRZ02
# Assembly method: SOAPdenovo v. 1.5; SSPACE v. 1.0
# Expected final version: yes
# Genome coverage: 186.6x
# Sequencing technology: Illumina HiSeq
# GenBank assembly accession: GCA_000512255.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000512265.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3063864880
all	all	all	all	spanned-gaps	143550
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	35797
all	all	all	all	scaffold-N50	250929874
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	238597879
all	all	all	all	scaffold-N90	142366738
all	all	all	all	contig-count	179347
all	all	all	all	contig-N50	50844
all	all	all	all	contig-L50	15089
all	all	all	all	total-gap-length	99267862
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	35797
all	all	all	all	component-count	35797
Primary Assembly	all	all	all	total-length	3063864880
Primary Assembly	all	all	all	ungapped-length	2964597018
Primary Assembly	all	all	all	scaffold-count	35797
Primary Assembly	all	all	all	scaffold-N50	250929874
Primary Assembly	all	all	all	spanned-gaps	143550
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2898262813
Primary Assembly	all	all	assembled-molecule	ungapped-length	2808489222
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	250929874
Primary Assembly	all	all	assembled-molecule	spanned-gaps	131643
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	165602067
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	156107796
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	35785
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	436075
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	11907
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	309102287
Primary Assembly	1	Chromosome	all	ungapped-length	298380075
