# Assembly Statistics Report
# Assembly name:  F153.v0709
# Organism name:  Ananas comosus (pineapple)
# Taxid:          4615
# BioSample:      SAMEA5755616
# BioProject:     PRJEB33121
# Submitter:      Fujian Agriculture and Forestry University
# Date:           2020-07-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CABGUK02
# Genome coverage: 100x
# GenBank assembly accession: GCA_902162155.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_902162154.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	381905219
all	all	all	all	spanned-gaps	6229
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	3133
all	all	all	all	scaffold-N50	11705491
all	all	all	all	scaffold-L50	14
all	all	all	all	scaffold-N75	10645290
all	all	all	all	scaffold-N90	47266
all	all	all	all	contig-count	9362
all	all	all	all	contig-N50	114627
all	all	all	all	contig-L50	827
all	all	all	all	total-gap-length	6770959
all	all	all	all	molecule-count	25
all	all	all	all	top-level-count	3133
all	all	all	all	component-count	3133
Primary Assembly	all	all	all	total-length	381905219
Primary Assembly	all	all	all	ungapped-length	375134260
Primary Assembly	all	all	all	scaffold-count	3133
Primary Assembly	all	all	all	scaffold-N50	11705491
Primary Assembly	all	all	all	spanned-gaps	6229
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	315843786
Primary Assembly	all	all	assembled-molecule	ungapped-length	311278721
Primary Assembly	all	all	assembled-molecule	scaffold-count	25
Primary Assembly	all	all	assembled-molecule	scaffold-N50	13096665
Primary Assembly	all	all	assembled-molecule	spanned-gaps	4553
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	66061433
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	63855539
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	3108
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	39868
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1676
