# Assembly Statistics Report
# Assembly name:  TsV2-8
# Organism name:  Eutrema salsugineum (saltwater cress)
# Infraspecific name:  ecotype=Shandong
# Taxid:          72664
# BioSample:      SAMN02981396
# BioProject:     PRJNA80723
# Submitter:      IGDB
# Date:           2013-02-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AHIU01
# Assembly method: SOAPdenovo; ABySS v. 1.2.1; Minimus2
# Genome coverage: 134x
# Sequencing technology: Illumina GAIIx
# GenBank assembly accession: GCA_000325905.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000325915.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	231893041
all	all	all	all	spanned-gaps	26019
all	all	all	all	unspanned-gaps	508
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2663
all	all	all	all	scaffold-N50	407295
all	all	all	all	scaffold-L50	117
all	all	all	all	scaffold-N75	144850
all	all	all	all	scaffold-N90	52062
all	all	all	all	contig-count	28682
all	all	all	all	contig-N50	31675
all	all	all	all	contig-L50	1496
all	all	all	all	total-gap-length	23021986
all	all	all	all	molecule-count	7
all	all	all	all	top-level-count	2155
all	all	all	all	component-count	28682
Primary Assembly	all	all	all	total-length	231893041
Primary Assembly	all	all	all	ungapped-length	208871055
Primary Assembly	all	all	all	scaffold-count	2663
Primary Assembly	all	all	all	scaffold-N50	407295
Primary Assembly	all	all	all	spanned-gaps	26019
Primary Assembly	all	all	all	unspanned-gaps	508
Primary Assembly	all	all	assembled-molecule	total-length	185974821
Primary Assembly	all	all	assembled-molecule	ungapped-length	172846421
Primary Assembly	all	all	assembled-molecule	scaffold-count	515
Primary Assembly	all	all	assembled-molecule	scaffold-N50	559927
Primary Assembly	all	all	assembled-molecule	spanned-gaps	15397
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	508
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	45918220
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	36024634
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2148
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	55832
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	10622
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	28703709
Primary Assembly	1	Chromosome	all	ungapped-length	26783703
Primary Assembly	1	Chromosome	all	scaffold-count	72
Primary Assembly	1	Chromosome	all	scaffold-N50	544440
Primary Assembly	1	Chromosome	all	spanned-gaps	2292
Primary Assembly	1	Chromosome	all	unspanned-gaps	71
