# Assembly Statistics Report
# Assembly name:  ASM411807v1
# Organism name:  Vigna unguiculata (cowpea)
# Infraspecific name:  cultivar=IT97K-499-35
# Taxid:          3917
# BioSample:      SAMN06674009
# BioProject:     PRJNA381312
# Submitter:      University of California, Riverside
# Date:           2019-01-30
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    NBOW01
# Assembly method: CANU-Abruijn-FALCON v. 2017-2-1
# Expected final version: yes
# Genome coverage: 91.0x
# Sequencing technology: PacBio; Bionano
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_004118075.1
# RefSeq assembly accession: GCF_004118075.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004118105.1	GCF_004118105.1	Primary Assembly
## 	GCF_004138685.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	518914349
all	all	all	all	spanned-gaps	68
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	681
all	all	all	all	scaffold-N50	41684185
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	38363498
all	all	all	all	scaffold-N90	33908088
all	all	all	all	contig-count	749
all	all	all	all	contig-N50	10911736
all	all	all	all	contig-L50	16
all	all	all	all	total-gap-length	2720798
all	all	all	all	molecule-count	11
all	all	all	all	top-level-count	681
all	all	all	all	component-count	681
Primary Assembly	all	all	all	total-length	518914349
Primary Assembly	all	all	all	ungapped-length	516193551
Primary Assembly	all	all	all	scaffold-count	681
Primary Assembly	all	all	all	scaffold-N50	41684185
Primary Assembly	all	all	all	spanned-gaps	68
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	473456283
Primary Assembly	all	all	assembled-molecule	ungapped-length	471155275
Primary Assembly	all	all	assembled-molecule	scaffold-count	11
Primary Assembly	all	all	assembled-molecule	scaffold-N50	42129361
Primary Assembly	all	all	assembled-molecule	spanned-gaps	65
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	45458066
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	45038276
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	670
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	86239
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	3
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	42129361
Primary Assembly	1	Chromosome	all	ungapped-length	41849476
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	42129361
Primary Assembly	1	Chromosome	all	spanned-gaps	5
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	42129361
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	41849476
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	42129361
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	5
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	33908088
Primary Assembly	2	Chromosome	all	ungapped-length	33637887
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	33908088
Primary Assembly	2	Chromosome	all	spanned-gaps	6
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	33908088
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	33637887
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
