# Assembly Statistics Report
# Assembly name:  HZAU_G240_1.0
# Organism name:  Camellia sinensis (black tea)
# Isolate:  G240
# Taxid:          4442
# BioSample:      SAMN15411634
# BioProject:     PRJNA643357
# Submitter:      Huazhong Agricultural University
# Date:           2020-07-24
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JACBKZ01
# Assembly method: FALCON v. MAY-2019
# Expected final version: yes
# Genome coverage: 116.0x
# Sequencing technology: PacBio
# GenBank assembly accession: GCA_013676235.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_013676265.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3113463150
all	all	all	all	spanned-gaps	4208
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1231
all	all	all	all	scaffold-N50	204241410
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	177358539
all	all	all	all	scaffold-N90	168827594
all	all	all	all	contig-count	5439
all	all	all	all	contig-N50	2589771
all	all	all	all	contig-L50	352
all	all	all	all	total-gap-length	2104000
all	all	all	all	molecule-count	15
all	all	all	all	top-level-count	1231
all	all	all	all	component-count	1231
Primary Assembly	all	all	all	total-length	3113463150
Primary Assembly	all	all	all	ungapped-length	3111359150
Primary Assembly	all	all	all	scaffold-count	1231
Primary Assembly	all	all	all	scaffold-N50	204241410
Primary Assembly	all	all	all	spanned-gaps	4208
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	3099513609
Primary Assembly	all	all	assembled-molecule	ungapped-length	3097423109
Primary Assembly	all	all	assembled-molecule	scaffold-count	15
Primary Assembly	all	all	assembled-molecule	scaffold-N50	217089130
Primary Assembly	all	all	assembled-molecule	spanned-gaps	4181
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	13949541
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	13936041
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1216
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	13515
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	27
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	336970639
Primary Assembly	1	Chromosome	all	ungapped-length	336683139
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	336970639
Primary Assembly	1	Chromosome	all	spanned-gaps	575
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	336970639
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	336683139
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	336970639
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	575
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
