# Assembly Statistics Report
# Assembly name:  SCAU_Psal_1.0
# Organism name:  Prunus salicina (eudicots)
# Infraspecific name:  cultivar=Sanyueli
# Isolate:  YHH-2019
# Taxid:          88123
# BioSample:      SAMN12842679
# BioProject:     PRJNA574159
# Submitter:      South China Agricultural University
# Date:           2020-10-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WERZ01
# Assembly method: FALCON v. 0.3.0
# Expected final version: yes
# Genome coverage: 255.0x
# Sequencing technology: Illumina HiSeq; PacBio Sequel
# GenBank assembly accession: GCA_014863905.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014863915.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	284209110
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	197
all	all	all	all	region-count	0
all	all	all	all	contig-count	272
all	all	all	all	contig-N50	1777944
all	all	all	all	contig-L50	45
all	all	all	all	total-gap-length	19700
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	75
all	all	all	all	component-count	272
Primary Assembly	all	all	all	total-length	284209110
Primary Assembly	all	all	all	ungapped-length	284189410
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	197
Primary Assembly	all	all	assembled-molecule	total-length	274418683
Primary Assembly	all	all	assembled-molecule	ungapped-length	274398983
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	197
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	9790427
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	9790427
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	54530904
Primary Assembly	1	Chromosome	all	ungapped-length	54527904
Primary Assembly	1	Chromosome	all	spanned-gaps	0
Primary Assembly	1	Chromosome	all	unspanned-gaps	30
Primary Assembly	1	Chromosome	assembled-molecule	total-length	54530904
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	54527904
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	30
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	37657874
Primary Assembly	2	Chromosome	all	ungapped-length	37654474
Primary Assembly	2	Chromosome	all	spanned-gaps	0
Primary Assembly	2	Chromosome	all	unspanned-gaps	34
Primary Assembly	2	Chromosome	assembled-molecule	total-length	37657874
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	37654474
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	34
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	31821073
Primary Assembly	3	Chromosome	all	ungapped-length	31818473
Primary Assembly	3	Chromosome	all	spanned-gaps	0
Primary Assembly	3	Chromosome	all	unspanned-gaps	26
Primary Assembly	3	Chromosome	assembled-molecule	total-length	31821073
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	31818473
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	26
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	32324625
Primary Assembly	4	Chromosome	all	ungapped-length	32322225
Primary Assembly	4	Chromosome	all	spanned-gaps	0
Primary Assembly	4	Chromosome	all	unspanned-gaps	24
Primary Assembly	4	Chromosome	assembled-molecule	total-length	32324625
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	32322225
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	24
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
