# Assembly Statistics Report
# Assembly name:  C.cajan_V1.0
# Organism name:  Cajanus cajan (pigeon pea)
# Taxid:          3821
# BioSample:      SAMN02981370
# BioProject:     PRJNA72815
# Submitter:      BGI
# Date:           2016-09-29
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AGCT01
# Assembly method: SOAPdenovo v. 1.05
# Genome coverage: 160x
# Sequencing technology: Illumina Hiseq2000
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000340665.1
# RefSeq assembly accession: GCF_000340665.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000340675.1	GCF_000340675.1	Primary Assembly
## 	GCF_002006625.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	592816859
all	all	all	all	spanned-gaps	36387
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	36535
all	all	all	all	scaffold-N50	555764
all	all	all	all	scaffold-L50	72
all	all	all	all	scaffold-N75	138720
all	all	all	all	scaffold-N90	34205
all	all	all	all	contig-count	72922
all	all	all	all	contig-N50	22476
all	all	all	all	contig-L50	7525
all	all	all	all	total-gap-length	34435295
all	all	all	all	molecule-count	11
all	all	all	all	top-level-count	36535
all	all	all	all	component-count	72922
Primary Assembly	all	all	all	total-length	592816859
Primary Assembly	all	all	all	ungapped-length	558381564
Primary Assembly	all	all	all	scaffold-count	36535
Primary Assembly	all	all	all	scaffold-N50	555764
Primary Assembly	all	all	all	spanned-gaps	36387
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	247494949
Primary Assembly	all	all	assembled-molecule	ungapped-length	235891287
Primary Assembly	all	all	assembled-molecule	scaffold-count	11
Primary Assembly	all	all	assembled-molecule	scaffold-N50	23791330
Primary Assembly	all	all	assembled-molecule	spanned-gaps	15653
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	345321910
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	322490277
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	36524
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	181687
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	20734
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	17676265
Primary Assembly	1	Chromosome	all	ungapped-length	16811428
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	17676265
