# Assembly Statistics Report
# Assembly name:  Trifolium pratense genome v3
# Organism name:  Trifolium pratense (eudicots)
# Taxid:          57577
# BioSample:      SAMEA3360124
# BioProject:     PRJEB9186
# Submitter:      TGAC
# Date:           2018-05-23
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    OMTE01
# Genome coverage: 100x
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_900292005.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900292004.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	351621712
all	all	all	all	spanned-gaps	96535
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	38479
all	all	all	all	scaffold-N50	36590684
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	22226037
all	all	all	all	scaffold-N90	2234
all	all	all	all	contig-count	135014
all	all	all	all	contig-N50	4846
all	all	all	all	contig-L50	17176
all	all	all	all	total-gap-length	42608384
all	all	all	all	molecule-count	7
all	all	all	all	top-level-count	38479
all	all	all	all	component-count	39904
Primary Assembly	all	all	all	total-length	351621712
Primary Assembly	all	all	all	ungapped-length	309013328
Primary Assembly	all	all	all	scaffold-count	38479
Primary Assembly	all	all	all	scaffold-N50	36590684
Primary Assembly	all	all	all	spanned-gaps	96535
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	264609843
Primary Assembly	all	all	assembled-molecule	ungapped-length	227311722
Primary Assembly	all	all	assembled-molecule	scaffold-count	7
Primary Assembly	all	all	assembled-molecule	scaffold-N50	40566209
Primary Assembly	all	all	assembled-molecule	spanned-gaps	65870
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	87011869
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	81701606
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	38472
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	3122
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	30665
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	40566209
Primary Assembly	1	Chromosome	all	ungapped-length	35287244
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	40566209
Primary Assembly	1	Chromosome	all	spanned-gaps	9851
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	40566209
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	35287244
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	40566209
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	9851
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	49646938
Primary Assembly	2	Chromosome	all	ungapped-length	42703649
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	49646938
Primary Assembly	2	Chromosome	all	spanned-gaps	12455
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	49646938
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	42703649
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	49646938
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	12455
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
