# Assembly Statistics Report
# Assembly name:  10wheat_assembly_norin61
# Organism name:  Triticum aestivum (bread wheat)
# Infraspecific name:  cultivar=Norin 61
# Taxid:          4565
# BioSample:      SAMEA7202579
# BioProject:     PRJEB39982
# Submitter:      IPK-Gatersleben
# Date:           2020-09-03
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAJFCQ01
# Genome coverage: 320x
# GenBank assembly accession: GCA_904066035.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_904066034.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	14910390598
all	all	all	all	spanned-gaps	441196
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	21465
all	all	all	all	scaffold-N50	712168462
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	614136911
all	all	all	all	scaffold-N90	492948387
all	all	all	all	contig-count	462368
all	all	all	all	contig-N50	66892
all	all	all	all	contig-L50	65190
all	all	all	all	total-gap-length	113433762
all	all	all	all	molecule-count	21
all	all	all	all	top-level-count	21465
all	all	all	all	component-count	21465
Primary Assembly	all	all	all	total-length	14910390598
Primary Assembly	all	all	all	ungapped-length	14796956836
Primary Assembly	all	all	all	scaffold-count	21465
Primary Assembly	all	all	all	scaffold-N50	712168462
Primary Assembly	all	all	all	spanned-gaps	441196
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	14057660324
Primary Assembly	all	all	assembled-molecule	ungapped-length	13958829846
Primary Assembly	all	all	assembled-molecule	scaffold-count	21
Primary Assembly	all	all	assembled-molecule	scaffold-N50	712168462
Primary Assembly	all	all	assembled-molecule	spanned-gaps	428113
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	852730274
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	838126990
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	21444
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	95700
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	13083
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1A	Chromosome	all	total-length	594006513
Primary Assembly	1A	Chromosome	all	ungapped-length	590632177
Primary Assembly	1A	Chromosome	all	scaffold-count	1
Primary Assembly	1A	Chromosome	all	scaffold-N50	594006513
Primary Assembly	1A	Chromosome	all	spanned-gaps	16201
Primary Assembly	1A	Chromosome	all	unspanned-gaps	0
Primary Assembly	1A	Chromosome	assembled-molecule	total-length	594006513
Primary Assembly	1A	Chromosome	assembled-molecule	ungapped-length	590632177
Primary Assembly	1A	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1A	Chromosome	assembled-molecule	scaffold-N50	594006513
Primary Assembly	1A	Chromosome	assembled-molecule	spanned-gaps	16201
Primary Assembly	1A	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1B	Chromosome	all	total-length	693261537
Primary Assembly	1B	Chromosome	all	ungapped-length	687877750
Primary Assembly	1B	Chromosome	all	scaffold-count	1
Primary Assembly	1B	Chromosome	all	scaffold-N50	693261537
Primary Assembly	1B	Chromosome	all	spanned-gaps	22066
Primary Assembly	1B	Chromosome	all	unspanned-gaps	0
Primary Assembly	1B	Chromosome	assembled-molecule	total-length	693261537
Primary Assembly	1B	Chromosome	assembled-molecule	ungapped-length	687877750
Primary Assembly	1B	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1B	Chromosome	assembled-molecule	scaffold-N50	693261537
Primary Assembly	1B	Chromosome	assembled-molecule	spanned-gaps	22066
Primary Assembly	1B	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1B	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1B	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1B	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1B	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1B	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1B	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1D	Chromosome	all	total-length	492948387
Primary Assembly	1D	Chromosome	all	ungapped-length	489413650
Primary Assembly	1D	Chromosome	all	scaffold-count	1
Primary Assembly	1D	Chromosome	all	scaffold-N50	492948387
Primary Assembly	1D	Chromosome	all	spanned-gaps	15732
Primary Assembly	1D	Chromosome	all	unspanned-gaps	0
Primary Assembly	1D	Chromosome	assembled-molecule	total-length	492948387
Primary Assembly	1D	Chromosome	assembled-molecule	ungapped-length	489413650
Primary Assembly	1D	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1D	Chromosome	assembled-molecule	scaffold-N50	492948387
Primary Assembly	1D	Chromosome	assembled-molecule	spanned-gaps	15732
Primary Assembly	1D	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1D	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1D	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1D	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1D	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1D	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1D	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2A	Chromosome	all	total-length	781462734
Primary Assembly	2A	Chromosome	all	ungapped-length	777046659
Primary Assembly	2A	Chromosome	all	scaffold-count	1
Primary Assembly	2A	Chromosome	all	scaffold-N50	781462734
Primary Assembly	2A	Chromosome	all	spanned-gaps	21002
Primary Assembly	2A	Chromosome	all	unspanned-gaps	0
Primary Assembly	2A	Chromosome	assembled-molecule	total-length	781462734
Primary Assembly	2A	Chromosome	assembled-molecule	ungapped-length	777046659
Primary Assembly	2A	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2A	Chromosome	assembled-molecule	scaffold-N50	781462734
Primary Assembly	2A	Chromosome	assembled-molecule	spanned-gaps	21002
Primary Assembly	2A	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2A	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2A	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2A	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2A	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2A	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2A	Chromosome	unlocalized-scaffold	unspanned-gaps	0
