# Assembly Statistics Report
# Assembly name:  ASM417044v1
# Organism name:  Arachis hypogaea (peanut)
# Isolate:  GDAAS-fuhuasheng2018
# Taxid:          3818
# BioSample:      SAMN10345426
# BioProject:     PRJNA500997
# Submitter:      Guangdong Academy of Agricultural Sciences
# Date:           2019-02-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    SDMP01
# Assembly method: DeNovoMAGIC2 v. 2
# Expected final version: yes
# Genome coverage: 235.0x
# Sequencing technology: Illumina
# GenBank assembly accession: GCA_004170445.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004170455.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2551684895
all	all	all	all	spanned-gaps	32692
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	29
all	all	all	all	scaffold-N50	137243429
all	all	all	all	scaffold-L50	9
all	all	all	all	scaffold-N75	114368132
all	all	all	all	scaffold-N90	109465566
all	all	all	all	contig-count	32721
all	all	all	all	contig-N50	213557
all	all	all	all	contig-L50	3443
all	all	all	all	total-gap-length	26473191
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	29
all	all	all	all	component-count	29
Primary Assembly	all	all	all	total-length	2551684895
Primary Assembly	all	all	all	ungapped-length	2525211704
Primary Assembly	all	all	all	scaffold-count	29
Primary Assembly	all	all	all	scaffold-N50	137243429
Primary Assembly	all	all	all	spanned-gaps	32692
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2508659386
Primary Assembly	all	all	assembled-molecule	ungapped-length	2483343588
Primary Assembly	all	all	assembled-molecule	scaffold-count	20
Primary Assembly	all	all	assembled-molecule	scaffold-N50	137243429
Primary Assembly	all	all	assembled-molecule	spanned-gaps	31727
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	43025509
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	41868116
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	9
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	11110262
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	965
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	A01	Chromosome	all	total-length	111889318
Primary Assembly	A01	Chromosome	all	ungapped-length	110862556
