# Assembly Statistics Report
# Assembly name:  Rkatsiteli_assembly01
# Organism name:  Vitis vinifera (wine grape)
# Infraspecific name:  cultivar=Rkatsiteli
# Taxid:          29760
# BioSample:      SAMD00080539
# BioProject:     PRJDB5761
# Submitter:      Agricultural University of Georgia
# Date:           2017-06-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    BDSS01
# Assembly method: GATK v. 3.4
# Genome coverage: 33x
# Sequencing technology: Illumina HiSeq 2000
# GenBank assembly accession: GCA_002923165.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002923175.1		Primary Assembly
## GCA_002923185.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	426615644
all	all	all	all	spanned-gaps	8955
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	21
all	all	all	all	scaffold-N50	22670846
all	all	all	all	scaffold-L50	9
all	all	all	all	scaffold-N75	20285841
all	all	all	all	scaffold-N90	18764869
all	all	all	all	contig-count	8976
all	all	all	all	contig-N50	112029
all	all	all	all	contig-L50	1132
all	all	all	all	total-gap-length	10006161
all	all	all	all	molecule-count	21
all	all	all	all	top-level-count	21
all	all	all	all	component-count	21
Primary Assembly	all	all	all	total-length	425681183
Primary Assembly	all	all	all	ungapped-length	415675022
Primary Assembly	all	all	all	scaffold-count	19
Primary Assembly	all	all	all	scaffold-N50	22670846
Primary Assembly	all	all	all	spanned-gaps	8955
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	425681183
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	415675022
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	19
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	22670846
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	8955
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	23009277
Primary Assembly	1	Chromosome	all	ungapped-length	22554906
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	23009277
Primary Assembly	1	Chromosome	all	spanned-gaps	397
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	0
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	0
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	0
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	0
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	23009277
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	22554906
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	23009277
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	397
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	18764869
Primary Assembly	2	Chromosome	all	ungapped-length	18327569
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	18764869
Primary Assembly	2	Chromosome	all	spanned-gaps	410
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	0
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	0
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	0
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	0
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	18764869
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	18327569
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	18764869
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	410
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	19316648
Primary Assembly	3	Chromosome	all	ungapped-length	18945948
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	19316648
Primary Assembly	3	Chromosome	all	spanned-gaps	402
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	0
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	0
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	0
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	0
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	19316648
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	18945948
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	19316648
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	402
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	23841992
Primary Assembly	4	Chromosome	all	ungapped-length	23332714
Primary Assembly	4	Chromosome	all	scaffold-count	1
Primary Assembly	4	Chromosome	all	scaffold-N50	23841992
Primary Assembly	4	Chromosome	all	spanned-gaps	451
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	total-length	0
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	0
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	0
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	0
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	23841992
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	23332714
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	23841992
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	451
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	25001775
Primary Assembly	5	Chromosome	all	ungapped-length	24427253
Primary Assembly	5	Chromosome	all	scaffold-count	1
Primary Assembly	5	Chromosome	all	scaffold-N50	25001775
Primary Assembly	5	Chromosome	all	spanned-gaps	569
Primary Assembly	5	Chromosome	all	unspanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	total-length	0
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	0
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-count	0
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-N50	0
Primary Assembly	5	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	total-length	25001775
Primary Assembly	5	Chromosome	unlocalized-scaffold	ungapped-length	24427253
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-N50	25001775
Primary Assembly	5	Chromosome	unlocalized-scaffold	spanned-gaps	569
Primary Assembly	5	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	6	Chromosome	all	total-length	21490205
Primary Assembly	6	Chromosome	all	ungapped-length	20908627
Primary Assembly	6	Chromosome	all	scaffold-count	1
Primary Assembly	6	Chromosome	all	scaffold-N50	21490205
Primary Assembly	6	Chromosome	all	spanned-gaps	447
Primary Assembly	6	Chromosome	all	unspanned-gaps	0
Primary Assembly	6	Chromosome	assembled-molecule	total-length	0
Primary Assembly	6	Chromosome	assembled-molecule	ungapped-length	0
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-count	0
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-N50	0
Primary Assembly	6	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	6	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	total-length	21490205
Primary Assembly	6	Chromosome	unlocalized-scaffold	ungapped-length	20908627
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-N50	21490205
Primary Assembly	6	Chromosome	unlocalized-scaffold	spanned-gaps	447
Primary Assembly	6	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	7	Chromosome	all	total-length	20998113
Primary Assembly	7	Chromosome	all	ungapped-length	20502169
Primary Assembly	7	Chromosome	all	scaffold-count	1
Primary Assembly	7	Chromosome	all	scaffold-N50	20998113
Primary Assembly	7	Chromosome	all	spanned-gaps	529
Primary Assembly	7	Chromosome	all	unspanned-gaps	0
Primary Assembly	7	Chromosome	assembled-molecule	total-length	0
Primary Assembly	7	Chromosome	assembled-molecule	ungapped-length	0
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-count	0
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-N50	0
Primary Assembly	7	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	7	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	total-length	20998113
Primary Assembly	7	Chromosome	unlocalized-scaffold	ungapped-length	20502169
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-N50	20998113
Primary Assembly	7	Chromosome	unlocalized-scaffold	spanned-gaps	529
Primary Assembly	7	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	8	Chromosome	all	total-length	22355806
Primary Assembly	8	Chromosome	all	ungapped-length	21992486
Primary Assembly	8	Chromosome	all	scaffold-count	1
