# Assembly Statistics Report
# Assembly name:  Elo_Vpla-B_alternate_1.0
# Organism name:  Vanilla planifolia (cultivated vanilla)
# Infraspecific name:  cultivar=Daphna
# Taxid:          51239
# BioSample:      SAMN14973820
# BioProject:     PRJNA668740
# Submitter:      Elo Life Systems
# Date:           2020-12-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JADCNM01
# Assembly method: Miniasm v. v0.3-r179; Minimap2 v. v2,11-r797; FALCON-Phase v. v2; Proximo scaffolding platform v. b4869cc
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Oxford Nanopore; Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_016413885.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_016413905.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	744191894
all	all	all	all	spanned-gaps	1326
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	668
all	all	all	all	scaffold-N50	40793230
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	37451266
all	all	all	all	scaffold-N90	483100
all	all	all	all	contig-count	1994
all	all	all	all	contig-N50	528051
all	all	all	all	contig-L50	451
all	all	all	all	total-gap-length	132474
all	all	all	all	molecule-count	14
all	all	all	all	top-level-count	668
all	all	all	all	component-count	668
Primary Assembly	all	all	all	total-length	744191894
Primary Assembly	all	all	all	ungapped-length	744059420
Primary Assembly	all	all	all	scaffold-count	668
Primary Assembly	all	all	all	scaffold-N50	40793230
Primary Assembly	all	all	all	spanned-gaps	1326
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	642326238
Primary Assembly	all	all	assembled-molecule	ungapped-length	642193764
Primary Assembly	all	all	assembled-molecule	scaffold-count	14
Primary Assembly	all	all	assembled-molecule	scaffold-N50	43882989
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1326
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	101865656
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	101865656
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	654
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	290431
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	83416392
Primary Assembly	1	Chromosome	all	ungapped-length	83397092
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	83416392
Primary Assembly	1	Chromosome	all	spanned-gaps	193
