# Assembly Statistics Report
# Assembly name:  ASM1431973v1
# Organism name:  Nelumbo nucifera (sacred lotus)
# Infraspecific name:  cultivar=China Antique
# Taxid:          4432
# BioSample:      SAMN09691185
# BioProject:     PRJNA481856
# Submitter:      Wuhan Botanical Garden, Chinese Academy of Sciences
# Date:           2020-08-27
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    DUZY01
# Assembly method: SparseAssembler v. 09-2016; DBG2OLC v. 06-2016; LACHESIS v. 03-2013; Jelly v. 01-2017
# Expected final version: yes
# Genome coverage: 129.2x
# Sequencing technology: Illumina; PacBio; Hi-C
# GenBank assembly accession: GCA_014319735.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014319745.1		Primary Assembly
## GCA_014319755.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	821286254
all	all	all	all	spanned-gaps	2810
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	464
all	all	all	all	scaffold-N50	111874633
all	all	all	all	scaffold-L50	3
all	all	all	all	scaffold-N75	86706339
all	all	all	all	scaffold-N90	60902951
all	all	all	all	contig-count	3274
all	all	all	all	contig-N50	872679
all	all	all	all	contig-L50	278
all	all	all	all	total-gap-length	126093
all	all	all	all	molecule-count	9
all	all	all	all	top-level-count	464
all	all	all	all	component-count	464
Primary Assembly	all	all	all	total-length	821245928
Primary Assembly	all	all	all	ungapped-length	821119835
Primary Assembly	all	all	all	scaffold-count	461
Primary Assembly	all	all	all	scaffold-N50	111874633
Primary Assembly	all	all	all	spanned-gaps	2810
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	813225096
Primary Assembly	all	all	assembled-molecule	ungapped-length	813099003
Primary Assembly	all	all	assembled-molecule	scaffold-count	8
Primary Assembly	all	all	assembled-molecule	scaffold-N50	111874633
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2810
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	8020832
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	8020832
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	453
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	26197
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	219407837
Primary Assembly	1	Chromosome	all	ungapped-length	219367920
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	219407837
Primary Assembly	1	Chromosome	all	spanned-gaps	857
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	219407837
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	219367920
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	219407837
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	857
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	114555681
Primary Assembly	2	Chromosome	all	ungapped-length	114536693
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	114555681
Primary Assembly	2	Chromosome	all	spanned-gaps	409
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	114555681
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	114536693
