# Assembly Statistics Report
# Assembly name:  ASM21127v1
# Description:    Sequences for chromosomes 1, 3, 4 & 5 from the Arabidopsis thaliana Sequencing Consortium
# Organism name:  Arabidopsis thaliana (thale cress)
# Infraspecific name:  ecotype=Columbia
# Taxid:          3702
# BioSample:      SAMN03081413
# BioProject:     PRJNA13190
# Submitter:      Arabidopsis Genome Initiative
# Date:           2004-11-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: partial
# Excluded from RefSeq: partial
# GenBank assembly accession: GCA_000211275.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000211285.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	93654490
all	all	all	all	spanned-gaps	50
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	56
all	all	all	all	contig-N50	11855703
all	all	all	all	contig-L50	4
all	all	all	all	total-gap-length	3403
all	all	all	all	molecule-count	6
all	all	all	all	top-level-count	6
all	all	all	all	component-count	1204
Primary Assembly	all	all	all	total-length	93654490
Primary Assembly	all	all	all	ungapped-length	93651087
Primary Assembly	all	all	all	spanned-gaps	50
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	93654490
Primary Assembly	all	all	assembled-molecule	ungapped-length	93651087
Primary Assembly	all	all	assembled-molecule	spanned-gaps	50
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	23403063
Primary Assembly	3	Chromosome	all	ungapped-length	23400320
Primary Assembly	3	Chromosome	all	spanned-gaps	43
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	23403063
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	23400320
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	43
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	23810767
Primary Assembly	5	Chromosome	all	ungapped-length	23810167
Primary Assembly	5	Chromosome	all	spanned-gaps	6
Primary Assembly	5	Chromosome	all	unspanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	total-length	23810767
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	23810167
Primary Assembly	5	Chromosome	assembled-molecule	spanned-gaps	6
Primary Assembly	5	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1 bottom arm	Chromosome	all	total-length	14668883
Primary Assembly	1 bottom arm	Chromosome	all	ungapped-length	14668883
Primary Assembly	1 bottom arm	Chromosome	all	spanned-gaps	0
Primary Assembly	1 bottom arm	Chromosome	all	unspanned-gaps	0
Primary Assembly	1 bottom arm	Chromosome	assembled-molecule	total-length	14668883
Primary Assembly	1 bottom arm	Chromosome	assembled-molecule	ungapped-length	14668883
Primary Assembly	1 bottom arm	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	1 bottom arm	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1 bottom arm	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1 bottom arm	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1 bottom arm	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1 bottom arm	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1 top arm	Chromosome	all	total-length	14221815
Primary Assembly	1 top arm	Chromosome	all	ungapped-length	14221755
Primary Assembly	1 top arm	Chromosome	all	spanned-gaps	1
Primary Assembly	1 top arm	Chromosome	all	unspanned-gaps	0
Primary Assembly	1 top arm	Chromosome	assembled-molecule	total-length	14221815
Primary Assembly	1 top arm	Chromosome	assembled-molecule	ungapped-length	14221755
Primary Assembly	1 top arm	Chromosome	assembled-molecule	spanned-gaps	1
Primary Assembly	1 top arm	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1 top arm	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1 top arm	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1 top arm	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1 top arm	Chromosome	unlocalized-scaffold	unspanned-gaps	0
