# Assembly Statistics Report
# Assembly name:  palm_55x_up_171113_PBpolish2nd_filt_p
# Organism name:  Phoenix dactylifera (date palm)
# Infraspecific name:  cultivar=Barhee BC4
# Sex:  male
# Taxid:          42345
# BioSample:      SAMN05011615
# BioProject:     PRJNA322046
# Submitter:      The University of Arizona
# Date:           2019-11-04
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    NBZB01
# Assembly method: Falcon v. 2017.06.28-18.01-py2.7-ucs4
# Expected final version: no
# Genome coverage: 100x
# Sequencing technology: PacBio
# GenBank assembly accession: GCA_009389715.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_009389735.1		Primary Assembly
## GCA_009389745.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	772474283
all	all	all	all	spanned-gaps	317
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2390
all	all	all	all	scaffold-N50	4728343
all	all	all	all	scaffold-L50	19
all	all	all	all	scaffold-N75	302956
all	all	all	all	scaffold-N90	110584
all	all	all	all	contig-count	2707
all	all	all	all	contig-N50	897195
all	all	all	all	contig-L50	196
all	all	all	all	total-gap-length	31700
all	all	all	all	molecule-count	19
all	all	all	all	top-level-count	2390
all	all	all	all	component-count	2390
Primary Assembly	all	all	all	total-length	772315838
Primary Assembly	all	all	all	ungapped-length	772284138
Primary Assembly	all	all	all	scaffold-count	2389
Primary Assembly	all	all	all	scaffold-N50	4728343
Primary Assembly	all	all	all	spanned-gaps	317
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	385590432
Primary Assembly	all	all	assembled-molecule	ungapped-length	385558732
Primary Assembly	all	all	assembled-molecule	scaffold-count	18
Primary Assembly	all	all	assembled-molecule	scaffold-N50	24628924
Primary Assembly	all	all	assembled-molecule	spanned-gaps	317
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	386725406
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	386725406
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2371
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	303010
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	40814151
Primary Assembly	1	Chromosome	all	ungapped-length	40808651
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	40814151
