# Assembly Statistics Report
# Assembly name:  ASM311234v1
# Organism name:  Artemisia annua (sweet wormwood)
# Infraspecific name:  cultivar=Huhao1#
# Taxid:          35608
# BioSample:      SAMN08125514
# BioProject:     PRJNA416223
# Submitter:      Shanghai Jiao Tong University
# Date:           2018-05-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    PKPP01
# Assembly method: Newbler v. Oct-2014
# Genome coverage: 180x
# Sequencing technology: 454; PacBio; Illumina
# GenBank assembly accession: GCA_003112345.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003112355.1		Primary Assembly
## GCA_003112365.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1792856094
all	all	all	all	spanned-gaps	151077
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	39400
all	all	all	all	scaffold-N50	104891
all	all	all	all	scaffold-L50	5090
all	all	all	all	scaffold-N75	54307
all	all	all	all	scaffold-N90	23674
all	all	all	all	contig-count	190477
all	all	all	all	contig-N50	20144
all	all	all	all	contig-L50	23154
all	all	all	all	total-gap-length	147293386
all	all	all	all	molecule-count	2
all	all	all	all	top-level-count	39400
all	all	all	all	component-count	39400
Primary Assembly	all	all	all	total-length	1789874483
Primary Assembly	all	all	all	ungapped-length	1642750974
Primary Assembly	all	all	all	scaffold-count	39381
Primary Assembly	all	all	all	scaffold-N50	104784
Primary Assembly	all	all	all	spanned-gaps	150869
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	all	all	all	total-length	2981611
non-nuclear	all	all	all	ungapped-length	2811734
non-nuclear	all	all	all	scaffold-count	19
non-nuclear	all	all	all	scaffold-N50	171174
non-nuclear	all	all	all	spanned-gaps	208
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	assembled-molecule	total-length	0
non-nuclear	all	all	assembled-molecule	ungapped-length	0
non-nuclear	all	all	assembled-molecule	scaffold-count	0
non-nuclear	all	all	assembled-molecule	scaffold-N50	0
non-nuclear	all	all	assembled-molecule	spanned-gaps	0
non-nuclear	all	all	assembled-molecule	unspanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	total-length	2981611
non-nuclear	all	all	unlocalized-scaffold	ungapped-length	2811734
non-nuclear	all	all	unlocalized-scaffold	scaffold-count	19
non-nuclear	all	all	unlocalized-scaffold	scaffold-N50	171174
non-nuclear	all	all	unlocalized-scaffold	spanned-gaps	208
non-nuclear	all	all	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	all	total-length	1439957
non-nuclear	MT	Mitochondrion	all	ungapped-length	1346689
non-nuclear	MT	Mitochondrion	all	scaffold-count	9
non-nuclear	MT	Mitochondrion	all	scaffold-N50	151330
non-nuclear	MT	Mitochondrion	all	spanned-gaps	105
non-nuclear	MT	Mitochondrion	all	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	assembled-molecule	total-length	0
non-nuclear	MT	Mitochondrion	assembled-molecule	ungapped-length	0
non-nuclear	MT	Mitochondrion	assembled-molecule	scaffold-count	0
non-nuclear	MT	Mitochondrion	assembled-molecule	scaffold-N50	0
non-nuclear	MT	Mitochondrion	assembled-molecule	spanned-gaps	0
non-nuclear	MT	Mitochondrion	assembled-molecule	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	total-length	1439957
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	ungapped-length	1346689
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	scaffold-count	9
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	scaffold-N50	151330
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	spanned-gaps	105
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	Pltd	Chloroplast	all	total-length	1541654
non-nuclear	Pltd	Chloroplast	all	ungapped-length	1465045
non-nuclear	Pltd	Chloroplast	all	scaffold-count	10
non-nuclear	Pltd	Chloroplast	all	scaffold-N50	171174
non-nuclear	Pltd	Chloroplast	all	spanned-gaps	103
non-nuclear	Pltd	Chloroplast	all	unspanned-gaps	0
