# Assembly Statistics Report
# Assembly name:  ASM470698v1
# Organism name:  Ipomoea trifida (eudicots)
# Infraspecific name:  cultivar=Y22
# Taxid:          35884
# BioSample:      SAMN06241172
# BioProject:     PRJNA362521
# Submitter:      Sichuan Academy of Agricultural Sciences
# Date:           2019-04-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    SMMV01
# Assembly method: Other platanus v. 1
# Expected final version: yes
# Genome coverage: 0.97x
# Sequencing technology: Illumina HiSeq; PacBio RSII
# GenBank assembly accession: GCA_004706985.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004710215.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	460934112
all	all	all	all	spanned-gaps	11464
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	4236
all	all	all	all	scaffold-N50	28859841
all	all	all	all	scaffold-L50	8
all	all	all	all	scaffold-N75	22027278
all	all	all	all	scaffold-N90	177945
all	all	all	all	contig-count	15700
all	all	all	all	contig-N50	59532
all	all	all	all	contig-L50	2149
all	all	all	all	total-gap-length	11634571
all	all	all	all	molecule-count	15
all	all	all	all	top-level-count	4236
all	all	all	all	component-count	4236
Primary Assembly	all	all	all	total-length	460934112
Primary Assembly	all	all	all	ungapped-length	449299541
Primary Assembly	all	all	all	scaffold-count	4236
Primary Assembly	all	all	all	scaffold-N50	28859841
Primary Assembly	all	all	all	spanned-gaps	11464
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	400438795
Primary Assembly	all	all	assembled-molecule	ungapped-length	390333670
Primary Assembly	all	all	assembled-molecule	scaffold-count	15
Primary Assembly	all	all	assembled-molecule	scaffold-N50	29900444
Primary Assembly	all	all	assembled-molecule	spanned-gaps	10045
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	60495317
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	58965871
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	4221
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	59707
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1419
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	01	Chromosome	all	total-length	28859841
Primary Assembly	01	Chromosome	all	ungapped-length	28079566
Primary Assembly	01	Chromosome	all	scaffold-count	1
Primary Assembly	01	Chromosome	all	scaffold-N50	28859841
Primary Assembly	01	Chromosome	all	spanned-gaps	679
Primary Assembly	01	Chromosome	all	unspanned-gaps	0
Primary Assembly	01	Chromosome	assembled-molecule	total-length	28859841
Primary Assembly	01	Chromosome	assembled-molecule	ungapped-length	28079566
Primary Assembly	01	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	01	Chromosome	assembled-molecule	scaffold-N50	28859841
Primary Assembly	01	Chromosome	assembled-molecule	spanned-gaps	679
Primary Assembly	01	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	01	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	01	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	01	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	01	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	01	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	01	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	02	Chromosome	all	total-length	38268358
Primary Assembly	02	Chromosome	all	ungapped-length	37338868
Primary Assembly	02	Chromosome	all	scaffold-count	1
Primary Assembly	02	Chromosome	all	scaffold-N50	38268358
Primary Assembly	02	Chromosome	all	spanned-gaps	966
Primary Assembly	02	Chromosome	all	unspanned-gaps	0
Primary Assembly	02	Chromosome	assembled-molecule	total-length	38268358
Primary Assembly	02	Chromosome	assembled-molecule	ungapped-length	37338868
Primary Assembly	02	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	02	Chromosome	assembled-molecule	scaffold-N50	38268358
Primary Assembly	02	Chromosome	assembled-molecule	spanned-gaps	966
Primary Assembly	02	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	02	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	02	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	02	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	02	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	02	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	02	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	03	Chromosome	all	total-length	31645182
Primary Assembly	03	Chromosome	all	ungapped-length	30830938
Primary Assembly	03	Chromosome	all	scaffold-count	1
Primary Assembly	03	Chromosome	all	scaffold-N50	31645182
Primary Assembly	03	Chromosome	all	spanned-gaps	860
Primary Assembly	03	Chromosome	all	unspanned-gaps	0
Primary Assembly	03	Chromosome	assembled-molecule	total-length	31645182
Primary Assembly	03	Chromosome	assembled-molecule	ungapped-length	30830938
Primary Assembly	03	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	03	Chromosome	assembled-molecule	scaffold-N50	31645182
Primary Assembly	03	Chromosome	assembled-molecule	spanned-gaps	860
Primary Assembly	03	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	03	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	03	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	03	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	03	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	03	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	03	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	04	Chromosome	all	total-length	27906968
Primary Assembly	04	Chromosome	all	ungapped-length	27157822
Primary Assembly	04	Chromosome	all	scaffold-count	1
Primary Assembly	04	Chromosome	all	scaffold-N50	27906968
Primary Assembly	04	Chromosome	all	spanned-gaps	791
Primary Assembly	04	Chromosome	all	unspanned-gaps	0
Primary Assembly	04	Chromosome	assembled-molecule	total-length	27906968
Primary Assembly	04	Chromosome	assembled-molecule	ungapped-length	27157822
Primary Assembly	04	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	04	Chromosome	assembled-molecule	scaffold-N50	27906968
Primary Assembly	04	Chromosome	assembled-molecule	spanned-gaps	791
Primary Assembly	04	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	04	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	04	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	04	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	04	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	04	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	04	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	05	Chromosome	all	total-length	30552433
Primary Assembly	05	Chromosome	all	ungapped-length	29763685
Primary Assembly	05	Chromosome	all	scaffold-count	1
Primary Assembly	05	Chromosome	all	scaffold-N50	30552433
Primary Assembly	05	Chromosome	all	spanned-gaps	756
Primary Assembly	05	Chromosome	all	unspanned-gaps	0
Primary Assembly	05	Chromosome	assembled-molecule	total-length	30552433
Primary Assembly	05	Chromosome	assembled-molecule	ungapped-length	29763685
Primary Assembly	05	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	05	Chromosome	assembled-molecule	scaffold-N50	30552433
Primary Assembly	05	Chromosome	assembled-molecule	spanned-gaps	756
Primary Assembly	05	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	05	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	05	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	05	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	05	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	05	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	05	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	06	Chromosome	all	total-length	30694809
Primary Assembly	06	Chromosome	all	ungapped-length	29906146
Primary Assembly	06	Chromosome	all	scaffold-count	1
Primary Assembly	06	Chromosome	all	scaffold-N50	30694809
Primary Assembly	06	Chromosome	all	spanned-gaps	759
Primary Assembly	06	Chromosome	all	unspanned-gaps	0
Primary Assembly	06	Chromosome	assembled-molecule	total-length	30694809
Primary Assembly	06	Chromosome	assembled-molecule	ungapped-length	29906146
Primary Assembly	06	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	06	Chromosome	assembled-molecule	scaffold-N50	30694809
Primary Assembly	06	Chromosome	assembled-molecule	spanned-gaps	759
Primary Assembly	06	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	06	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	06	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	06	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	06	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	06	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	06	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	07	Chromosome	all	total-length	23378506
Primary Assembly	07	Chromosome	all	ungapped-length	22719083
Primary Assembly	07	Chromosome	all	scaffold-count	1
Primary Assembly	07	Chromosome	all	scaffold-N50	23378506
Primary Assembly	07	Chromosome	all	spanned-gaps	606
Primary Assembly	07	Chromosome	all	unspanned-gaps	0
Primary Assembly	07	Chromosome	assembled-molecule	total-length	23378506
Primary Assembly	07	Chromosome	assembled-molecule	ungapped-length	22719083
Primary Assembly	07	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	07	Chromosome	assembled-molecule	scaffold-N50	23378506
Primary Assembly	07	Chromosome	assembled-molecule	spanned-gaps	606
Primary Assembly	07	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	07	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	07	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	07	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	07	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	07	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	07	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	08	Chromosome	all	total-length	29994037
Primary Assembly	08	Chromosome	all	ungapped-length	29238530
Primary Assembly	08	Chromosome	all	scaffold-count	1
Primary Assembly	08	Chromosome	all	scaffold-N50	29994037
Primary Assembly	08	Chromosome	all	spanned-gaps	782
Primary Assembly	08	Chromosome	all	unspanned-gaps	0
Primary Assembly	08	Chromosome	assembled-molecule	total-length	29994037
Primary Assembly	08	Chromosome	assembled-molecule	ungapped-length	29238530
Primary Assembly	08	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	08	Chromosome	assembled-molecule	scaffold-N50	29994037
Primary Assembly	08	Chromosome	assembled-molecule	spanned-gaps	782
Primary Assembly	08	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	08	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	08	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	08	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	08	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	08	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	08	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	09	Chromosome	all	total-length	18456237
Primary Assembly	09	Chromosome	all	ungapped-length	17978774
Primary Assembly	09	Chromosome	all	scaffold-count	1
Primary Assembly	09	Chromosome	all	scaffold-N50	18456237
Primary Assembly	09	Chromosome	all	spanned-gaps	419
Primary Assembly	09	Chromosome	all	unspanned-gaps	0
Primary Assembly	09	Chromosome	assembled-molecule	total-length	18456237
Primary Assembly	09	Chromosome	assembled-molecule	ungapped-length	17978774
Primary Assembly	09	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	09	Chromosome	assembled-molecule	scaffold-N50	18456237
Primary Assembly	09	Chromosome	assembled-molecule	spanned-gaps	419
Primary Assembly	09	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	09	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	09	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	09	Chromosome	unlocalized-scaffold	scaffold-count	0
