# Assembly Statistics Report
# Assembly name:  ASM165260v1
# Organism name:  Setaria italica (foxtail millet)
# Infraspecific name:  cultivar=TT8
# Taxid:          4555
# BioSample:      SAMN04534922
# BioProject:     PRJNA314430
# Submitter:      Academia Sinica
# Date:           2016-05-26
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    LWRS01
# Assembly method: AllPaths v. 44849
# Expected final version: yes
# Genome coverage: 375.0x
# Sequencing technology: 454; Illumina HiSeq; Illumina MiSeq
# GenBank assembly accession: GCA_001652605.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001652615.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	477541705
all	all	all	all	spanned-gaps	14406
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2689
all	all	all	all	scaffold-N50	53212001
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	42684089
all	all	all	all	scaffold-N90	39546705
all	all	all	all	contig-count	17095
all	all	all	all	contig-N50	147520
all	all	all	all	contig-L50	833
all	all	all	all	total-gap-length	13668368
all	all	all	all	molecule-count	9
all	all	all	all	top-level-count	2689
all	all	all	all	component-count	2689
Primary Assembly	all	all	all	total-length	477541705
Primary Assembly	all	all	all	ungapped-length	463873337
Primary Assembly	all	all	all	scaffold-count	2689
Primary Assembly	all	all	all	scaffold-N50	53212001
Primary Assembly	all	all	all	spanned-gaps	14406
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	458457535
Primary Assembly	all	all	assembled-molecule	ungapped-length	444867757
Primary Assembly	all	all	assembled-molecule	scaffold-count	9
Primary Assembly	all	all	assembled-molecule	scaffold-N50	54898046
Primary Assembly	all	all	assembled-molecule	spanned-gaps	14177
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	19084170
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	19005580
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2680
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	16621
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	229
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	I	Chromosome	all	total-length	47849701
Primary Assembly	I	Chromosome	all	ungapped-length	46188286
