# Assembly Statistics Report
# Assembly name:  Sorghum_bicolor_NCBIv3
# Organism name:  Sorghum bicolor (sorghum)
# Infraspecific name:  cultivar=BTx623
# Taxid:          4558
# BioSample:      SAMN02953738
# BioProject:     PRJNA13876
# Submitter:      Sorghum Consortium
# Date:           2017-04-07
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    ABXC03
# Assembly method: ARACHNE_modified v. 200721016
# Genome coverage: 8x
# Sequencing technology: Sanger; Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000003195.3
# RefSeq assembly accession: GCF_000003195.3
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001605.3	GCF_000001605.2	Primary Assembly
## 	GCF_000059015.2	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	708735318
all	all	all	all	spanned-gaps	3906
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	867
all	all	all	all	scaffold-N50	68658214
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	61277060
all	all	all	all	scaffold-N90	59416394
all	all	all	all	contig-count	4773
all	all	all	all	contig-N50	1310030
all	all	all	all	contig-L50	78
all	all	all	all	total-gap-length	33371430
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	867
all	all	all	all	component-count	4773
Primary Assembly	all	all	all	total-length	708735318
Primary Assembly	all	all	all	ungapped-length	675363888
Primary Assembly	all	all	all	scaffold-count	867
Primary Assembly	all	all	all	scaffold-N50	68658214
Primary Assembly	all	all	all	spanned-gaps	3906
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	683645045
Primary Assembly	all	all	assembled-molecule	ungapped-length	655206117
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	68658214
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2679
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	25090273
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	20157771
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	857
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	236493
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1227
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	80884392
Primary Assembly	1	Chromosome	all	ungapped-length	75935427
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	80884392
Primary Assembly	1	Chromosome	all	spanned-gaps	148
