# Assembly Statistics Report
# Assembly name:  ZizJuj_1.1
# Organism name:  Ziziphus jujuba (common jujube)
# Infraspecific name:  cultivar=Dongzao
# Taxid:          326968
# BioSample:      SAMN02918186
# BioProject:     PRJNA251714
# Submitter:      Agricultural University of Hebei
# Date:           2015-02-06
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JREP01
# Assembly method: SOAPdenovo v. 2.04
# Expected final version: yes
# Genome coverage: 255.52x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000826755.1
# RefSeq assembly accession: GCF_000826755.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000826775.1	GCF_000826775.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	437753511
all	all	all	all	spanned-gaps	23050
all	all	all	all	unspanned-gaps	1108
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	5897
all	all	all	all	scaffold-N50	301045
all	all	all	all	scaffold-L50	426
all	all	all	all	scaffold-N75	157557
all	all	all	all	scaffold-N90	73568
all	all	all	all	contig-count	28947
all	all	all	all	contig-N50	33947
all	all	all	all	contig-L50	3392
all	all	all	all	total-gap-length	20440151
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	4789
all	all	all	all	component-count	28947
Primary Assembly	all	all	all	total-length	437753511
Primary Assembly	all	all	all	ungapped-length	417313360
Primary Assembly	all	all	all	scaffold-count	5897
Primary Assembly	all	all	all	scaffold-N50	301045
Primary Assembly	all	all	all	spanned-gaps	23050
Primary Assembly	all	all	all	unspanned-gaps	1108
Primary Assembly	all	all	assembled-molecule	total-length	321562518
Primary Assembly	all	all	assembled-molecule	ungapped-length	307709153
Primary Assembly	all	all	assembled-molecule	scaffold-count	1120
Primary Assembly	all	all	assembled-molecule	scaffold-N50	377940
Primary Assembly	all	all	assembled-molecule	spanned-gaps	15306
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	1108
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	116190993
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	109604207
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	4777
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	117640
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	7744
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	42390363
Primary Assembly	1	Chromosome	all	ungapped-length	40857604
Primary Assembly	1	Chromosome	all	scaffold-count	134
Primary Assembly	1	Chromosome	all	scaffold-N50	388195
