# Assembly Statistics Report
# Assembly name:  ASM1342719v1
# Organism name:  Vigna mungo (black gram)
# Isolate:  CN80
# Taxid:          3915
# BioSample:      SAMN14558227
# BioProject:     PRJNA623719
# Submitter:      National Center for Genetic Engineering and Biotechnology (BIOTEC)
# Date:           2020-07-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JABCND01
# Assembly method: supernova v. 2.1.1
# Expected final version: yes
# Genome coverage: 267.0x
# Sequencing technology: 10x genomics sequencing technology
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_013427195.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_013427205.1		Primary Assembly
## GCA_013427215.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	498912072
all	all	all	all	spanned-gaps	21212
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	9224
all	all	all	all	scaffold-N50	43182124
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	35890456
all	all	all	all	scaffold-N90	24711178
all	all	all	all	contig-count	30436
all	all	all	all	contig-N50	41708
all	all	all	all	contig-L50	3233
all	all	all	all	total-gap-length	34776021
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	9224
all	all	all	all	component-count	9224
Primary Assembly	all	all	all	total-length	498803560
Primary Assembly	all	all	all	ungapped-length	464027559
Primary Assembly	all	all	all	scaffold-count	9220
Primary Assembly	all	all	all	scaffold-N50	43182124
Primary Assembly	all	all	all	spanned-gaps	21210
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	463352435
Primary Assembly	all	all	assembled-molecule	ungapped-length	429223421
Primary Assembly	all	all	assembled-molecule	scaffold-count	11
Primary Assembly	all	all	assembled-molecule	scaffold-N50	43182124
Primary Assembly	all	all	assembled-molecule	spanned-gaps	18751
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	35451125
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	34804138
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	9209
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	5213
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	2459
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	65136319
Primary Assembly	1	Chromosome	all	ungapped-length	60830590
Primary Assembly	1	Chromosome	all	scaffold-count	1
