# Assembly Statistics Report
# Assembly name:  Glycine_max_v2.1
# Organism name:  Glycine max (soybean)
# Infraspecific name:  cultivar=Williams 82
# Taxid:          3847
# BioSample:      SAMN00002965
# BioProject:     PRJNA19861
# Submitter:      US DOE Joint Genome Institute (JGI-PGF)
# Date:           2018-07-24
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    ACUP03
# Assembly method: ARACHNE v. 200721016_modified
# Genome coverage: 8.05x
# Sequencing technology: ABI 3739
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000004515.4
# RefSeq assembly accession: GCF_000004515.5
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000004525.4	GCF_000004525.4	Primary Assembly
## 	GCF_000100875.2	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	978491270
all	all	all	all	spanned-gaps	15608
all	all	all	all	unspanned-gaps	387
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1577
all	all	all	all	scaffold-N50	4417540
all	all	all	all	scaffold-L50	66
all	all	all	all	scaffold-N75	2484252
all	all	all	all	scaffold-N90	1044409
all	all	all	all	contig-count	17185
all	all	all	all	contig-N50	182839
all	all	all	all	contig-L50	1548
all	all	all	all	total-gap-length	23113809
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	1190
all	all	all	all	component-count	17185
Primary Assembly	all	all	all	total-length	978491270
Primary Assembly	all	all	all	ungapped-length	955377461
Primary Assembly	all	all	all	scaffold-count	1577
Primary Assembly	all	all	all	scaffold-N50	4417540
Primary Assembly	all	all	all	spanned-gaps	15608
Primary Assembly	all	all	all	unspanned-gaps	387
Primary Assembly	all	all	assembled-molecule	total-length	949183385
Primary Assembly	all	all	assembled-molecule	ungapped-length	932510856
Primary Assembly	all	all	assembled-molecule	scaffold-count	407
Primary Assembly	all	all	assembled-molecule	scaffold-N50	4579900
Primary Assembly	all	all	assembled-molecule	spanned-gaps	12395
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	387
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	29307885
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	22866605
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1170
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	192360
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	3213
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	56831624
Primary Assembly	1	Chromosome	all	ungapped-length	56006442
Primary Assembly	1	Chromosome	all	scaffold-count	18
Primary Assembly	1	Chromosome	all	scaffold-N50	7049813
Primary Assembly	1	Chromosome	all	spanned-gaps	669
