# Assembly Statistics Report
# Assembly name:  Cq_real_v1.0
# Organism name:  Chenopodium quinoa (quinoa)
# Infraspecific name:  cultivar=Real Blanca
# Taxid:          63459
# BioSample:      SAMN07354884
# BioProject:     PRJNA394587
# Submitter:      Shanghai Center for Plant Stress Biology
# Date:           2017-11-06
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    NSDK01
# Assembly method: Canu v. Jun-2016; Falcon v. Jul-2016; Habot v. Jul-2016
# Expected final version: no
# Genome coverage: 104.0x
# Sequencing technology: Illumina HiSeq; PacBio
# GenBank assembly accession: GCA_002732095.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002732105.1		Primary Assembly
## GCA_002732115.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1336736708
all	all	all	all	spanned-gaps	6256
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	3185
all	all	all	all	scaffold-N50	1159391
all	all	all	all	scaffold-L50	373
all	all	all	all	scaffold-N75	725305
all	all	all	all	scaffold-N90	422582
all	all	all	all	contig-count	9441
all	all	all	all	contig-N50	313798
all	all	all	all	contig-L50	1325
all	all	all	all	total-gap-length	11194801
all	all	all	all	molecule-count	2
all	all	all	all	top-level-count	3185
all	all	all	all	component-count	3185
Primary Assembly	all	all	all	total-length	1336553690
Primary Assembly	all	all	all	ungapped-length	1325358889
Primary Assembly	all	all	all	scaffold-count	3175
Primary Assembly	all	all	all	scaffold-N50	1159391
Primary Assembly	all	all	all	spanned-gaps	6256
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	1336553690
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	1325358889
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	3175
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	1159391
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	6256
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
non-nuclear	all	all	all	total-length	183018
non-nuclear	all	all	all	ungapped-length	183018
non-nuclear	all	all	all	scaffold-count	10
non-nuclear	all	all	all	scaffold-N50	152282
non-nuclear	all	all	all	spanned-gaps	0
