# Assembly Statistics Report
# Assembly name:  ASM698074v1
# Organism name:  Gossypium hirsutum (cotton)
# Infraspecific name:  cultivar=TM1
# Taxid:          3635
# BioSample:      SAMN10345425
# BioProject:     PRJNA503326
# Submitter:      Chinese Academy of Agricultural Sciences
# Date:           2019-07-29
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VCQY01
# Assembly method: Canu v. 1.5
# Expected final version: no
# Genome coverage: 0.96x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_006980745.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_006980805.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2287866413
all	all	all	all	spanned-gaps	673
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	599
all	all	all	all	scaffold-N50	96727820
all	all	all	all	scaffold-L50	11
all	all	all	all	scaffold-N75	65683246
all	all	all	all	scaffold-N90	58837282
all	all	all	all	contig-count	1272
all	all	all	all	contig-N50	4760671
all	all	all	all	contig-L50	141
all	all	all	all	total-gap-length	67300
all	all	all	all	molecule-count	26
all	all	all	all	top-level-count	599
all	all	all	all	component-count	599
Primary Assembly	all	all	all	total-length	2287866413
Primary Assembly	all	all	all	ungapped-length	2287799113
Primary Assembly	all	all	all	scaffold-count	599
Primary Assembly	all	all	all	scaffold-N50	96727820
Primary Assembly	all	all	all	spanned-gaps	673
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2226508335
Primary Assembly	all	all	assembled-molecule	ungapped-length	2226441035
Primary Assembly	all	all	assembled-molecule	scaffold-count	26
Primary Assembly	all	all	assembled-molecule	scaffold-N50	105672547
Primary Assembly	all	all	assembled-molecule	spanned-gaps	673
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	61358078
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	61358078
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	573
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	174556
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	A01	Chromosome	all	total-length	115951030
Primary Assembly	A01	Chromosome	all	ungapped-length	115945430
Primary Assembly	A01	Chromosome	all	scaffold-count	1
Primary Assembly	A01	Chromosome	all	scaffold-N50	115951030
Primary Assembly	A01	Chromosome	all	spanned-gaps	56
Primary Assembly	A01	Chromosome	all	unspanned-gaps	0
Primary Assembly	A01	Chromosome	assembled-molecule	total-length	115951030
Primary Assembly	A01	Chromosome	assembled-molecule	ungapped-length	115945430
Primary Assembly	A01	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A01	Chromosome	assembled-molecule	scaffold-N50	115951030
