# Assembly Statistics Report
# Assembly name:  WHFS_GmZH13_1.0
# Organism name:  Glycine max (soybean)
# Infraspecific name:  cultivar=Zhonghuang 13
# Taxid:          3847
# BioSample:      SAMN12622416
# BioProject:     PRJNA561626
# Submitter:      Frasergen Bioinformatics Inc
# Date:           2020-08-24
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WIXA01
# Assembly method: FALCON v. 2.0; CANU v. 1.7
# Expected final version: no
# Genome coverage: 50.0x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_014282085.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014282155.1		Primary Assembly
## GCA_014282175.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	988840384
all	all	all	all	spanned-gaps	988
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	181
all	all	all	all	scaffold-N50	50285119
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	46343627
all	all	all	all	scaffold-N90	42515130
all	all	all	all	contig-count	1169
all	all	all	all	contig-N50	4652094
all	all	all	all	contig-L50	48
all	all	all	all	total-gap-length	475073
all	all	all	all	molecule-count	21
all	all	all	all	top-level-count	181
all	all	all	all	component-count	181
Primary Assembly	all	all	all	total-length	988507796
Primary Assembly	all	all	all	ungapped-length	988032723
Primary Assembly	all	all	all	scaffold-count	176
Primary Assembly	all	all	all	scaffold-N50	50285119
Primary Assembly	all	all	all	spanned-gaps	988
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	982910465
Primary Assembly	all	all	assembled-molecule	ungapped-length	982435892
Primary Assembly	all	all	assembled-molecule	scaffold-count	20
Primary Assembly	all	all	assembled-molecule	scaffold-N50	50285119
Primary Assembly	all	all	assembled-molecule	spanned-gaps	987
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	5597331
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	5596831
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	156
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	44996
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	58725649
Primary Assembly	1	Chromosome	all	ungapped-length	58699749
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	58725649
