# Assembly Statistics Report
# Assembly name:  CAAS_Brap_v3.01
# Organism name:  Brassica rapa (field mustard)
# Infraspecific name:  cultivar=Chiifu-401-42
# Taxid:          3711
# BioSample:      SAMN02981293
# BioProject:     PRJNA59981
# Submitter:      Brassica rapa genome sequencing project, BraGSP
# Date:           2020-01-23
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AENI03
# Assembly method: Canu v. 1.5
# Expected final version: no
# Genome coverage: 57x
# Sequencing technology: PacBio RSII
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000309985.3
# RefSeq assembly accession: GCF_000309985.2
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000309995.3	GCF_000309995.2	Primary Assembly
## 	GCF_000202725.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	352829610
all	all	all	all	spanned-gaps	408
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1099
all	all	all	all	scaffold-N50	28928902
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	21928416
all	all	all	all	scaffold-N90	74260
all	all	all	all	contig-count	1507
all	all	all	all	contig-N50	1386548
all	all	all	all	contig-L50	71
all	all	all	all	total-gap-length	2139352
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	1099
all	all	all	all	component-count	1099
Primary Assembly	all	all	all	total-length	352829610
Primary Assembly	all	all	all	ungapped-length	350690258
Primary Assembly	all	all	all	scaffold-count	1099
Primary Assembly	all	all	all	scaffold-N50	28928902
Primary Assembly	all	all	all	spanned-gaps	408
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	296575242
Primary Assembly	all	all	assembled-molecule	ungapped-length	294435890
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	29167992
Primary Assembly	all	all	assembled-molecule	spanned-gaps	408
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	56254368
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	56254368
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1089
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	60485
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	A10	Chromosome	all	total-length	20725698
Primary Assembly	A10	Chromosome	all	ungapped-length	20685057
Primary Assembly	A10	Chromosome	all	scaffold-count	1
Primary Assembly	A10	Chromosome	all	scaffold-N50	20725698
Primary Assembly	A10	Chromosome	all	spanned-gaps	30
Primary Assembly	A10	Chromosome	all	unspanned-gaps	0
