# Assembly Statistics Report
# Assembly name:  UDSC_Var_1.1
# Organism name:  Brassica juncea (eudicots)
# Infraspecific name:  cultivar=Varuna
# Taxid:          3707
# BioSample:      SAMN02741811
# BioProject:     PRJNA550308
# Submitter:      CGMCP
# Date:           2020-11-15
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JADMCG01
# Assembly method: Canu v. 1.4
# Expected final version: yes
# Genome coverage: 110.0x
# Sequencing technology: PacBio RSII
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_015484525.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_015484545.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	884897500
all	all	all	all	spanned-gaps	3068
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	720
all	all	all	all	scaffold-N50	58583176
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	34190878
all	all	all	all	scaffold-N90	23051983
all	all	all	all	contig-count	3788
all	all	all	all	contig-N50	5627203
all	all	all	all	contig-L50	40
all	all	all	all	total-gap-length	29119218
all	all	all	all	molecule-count	18
all	all	all	all	top-level-count	720
all	all	all	all	component-count	720
Primary Assembly	all	all	all	total-length	884897500
Primary Assembly	all	all	all	ungapped-length	855778282
Primary Assembly	all	all	all	scaffold-count	720
Primary Assembly	all	all	all	scaffold-N50	58583176
Primary Assembly	all	all	all	spanned-gaps	3068
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	840173505
Primary Assembly	all	all	assembled-molecule	ungapped-length	811217260
Primary Assembly	all	all	assembled-molecule	scaffold-count	18
Primary Assembly	all	all	assembled-molecule	scaffold-N50	58583176
Primary Assembly	all	all	assembled-molecule	spanned-gaps	3008
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	44723995
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	44561022
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	702
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	64081
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	60
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	A1	Chromosome	all	total-length	43734983
Primary Assembly	A1	Chromosome	all	ungapped-length	38065504
Primary Assembly	A1	Chromosome	all	scaffold-count	1
Primary Assembly	A1	Chromosome	all	scaffold-N50	43734983
Primary Assembly	A1	Chromosome	all	spanned-gaps	258
Primary Assembly	A1	Chromosome	all	unspanned-gaps	0
Primary Assembly	A1	Chromosome	assembled-molecule	total-length	43734983
Primary Assembly	A1	Chromosome	assembled-molecule	ungapped-length	38065504
Primary Assembly	A1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A1	Chromosome	assembled-molecule	scaffold-N50	43734983
Primary Assembly	A1	Chromosome	assembled-molecule	spanned-gaps	258
Primary Assembly	A1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A2	Chromosome	all	total-length	32638544
Primary Assembly	A2	Chromosome	all	ungapped-length	32400997
Primary Assembly	A2	Chromosome	all	scaffold-count	1
Primary Assembly	A2	Chromosome	all	scaffold-N50	32638544
Primary Assembly	A2	Chromosome	all	spanned-gaps	5
Primary Assembly	A2	Chromosome	all	unspanned-gaps	0
Primary Assembly	A2	Chromosome	assembled-molecule	total-length	32638544
Primary Assembly	A2	Chromosome	assembled-molecule	ungapped-length	32400997
Primary Assembly	A2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A2	Chromosome	assembled-molecule	scaffold-N50	32638544
Primary Assembly	A2	Chromosome	assembled-molecule	spanned-gaps	5
Primary Assembly	A2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A3	Chromosome	all	total-length	33604393
Primary Assembly	A3	Chromosome	all	ungapped-length	33596834
Primary Assembly	A3	Chromosome	all	scaffold-count	1
Primary Assembly	A3	Chromosome	all	scaffold-N50	33604393
Primary Assembly	A3	Chromosome	all	spanned-gaps	3
Primary Assembly	A3	Chromosome	all	unspanned-gaps	0
Primary Assembly	A3	Chromosome	assembled-molecule	total-length	33604393
Primary Assembly	A3	Chromosome	assembled-molecule	ungapped-length	33596834
Primary Assembly	A3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A3	Chromosome	assembled-molecule	scaffold-N50	33604393
Primary Assembly	A3	Chromosome	assembled-molecule	spanned-gaps	3
Primary Assembly	A3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A4	Chromosome	all	total-length	23051983
Primary Assembly	A4	Chromosome	all	ungapped-length	22290515
Primary Assembly	A4	Chromosome	all	scaffold-count	1
Primary Assembly	A4	Chromosome	all	scaffold-N50	23051983
Primary Assembly	A4	Chromosome	all	spanned-gaps	24
Primary Assembly	A4	Chromosome	all	unspanned-gaps	0
Primary Assembly	A4	Chromosome	assembled-molecule	total-length	23051983
Primary Assembly	A4	Chromosome	assembled-molecule	ungapped-length	22290515
Primary Assembly	A4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A4	Chromosome	assembled-molecule	scaffold-N50	23051983
Primary Assembly	A4	Chromosome	assembled-molecule	spanned-gaps	24
Primary Assembly	A4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A5	Chromosome	all	total-length	34190878
Primary Assembly	A5	Chromosome	all	ungapped-length	32579558
Primary Assembly	A5	Chromosome	all	scaffold-count	1
Primary Assembly	A5	Chromosome	all	scaffold-N50	34190878
Primary Assembly	A5	Chromosome	all	spanned-gaps	134
Primary Assembly	A5	Chromosome	all	unspanned-gaps	0
Primary Assembly	A5	Chromosome	assembled-molecule	total-length	34190878
Primary Assembly	A5	Chromosome	assembled-molecule	ungapped-length	32579558
Primary Assembly	A5	Chromosome	assembled-molecule	scaffold-count	1
