# Assembly Statistics Report
# Assembly name:  ASM341772v2
# Organism name:  Cannabis sativa (eudicots)
# Infraspecific name:  cultivar=Finola
# Taxid:          3483
# BioSample:      SAMN09375800
# BioProject:     PRJNA73819
# Submitter:      University of Toronto
# Date:           2018-11-26
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QKVJ02
# Assembly method: FALCON v. 1.8.6
# Expected final version: no
# Genome coverage: 97.635555363x
# Sequencing technology: PacBio
# GenBank assembly accession: GCA_003417725.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003417735.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1009674739
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	2941
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	5303
all	all	all	all	scaffold-N50	370471
all	all	all	all	scaffold-L50	784
all	all	all	all	scaffold-N75	176999
all	all	all	all	scaffold-N90	97427
all	all	all	all	contig-count	5303
all	all	all	all	contig-N50	370471
all	all	all	all	contig-L50	784
all	all	all	all	total-gap-length	294100
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	2362
all	all	all	all	component-count	5303
Primary Assembly	all	all	all	total-length	1009674739
Primary Assembly	all	all	all	ungapped-length	1009380639
Primary Assembly	all	all	all	scaffold-count	5303
Primary Assembly	all	all	all	scaffold-N50	370471
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	2941
Primary Assembly	all	all	assembled-molecule	total-length	784757883
Primary Assembly	all	all	assembled-molecule	ungapped-length	784463783
Primary Assembly	all	all	assembled-molecule	scaffold-count	2951
Primary Assembly	all	all	assembled-molecule	scaffold-N50	412142
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	2941
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	224916856
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	224916856
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2352
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	194379
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	100649945
Primary Assembly	1	Chromosome	all	ungapped-length	100613245
Primary Assembly	1	Chromosome	all	scaffold-count	368
Primary Assembly	1	Chromosome	all	scaffold-N50	409820
Primary Assembly	1	Chromosome	all	spanned-gaps	0
Primary Assembly	1	Chromosome	all	unspanned-gaps	367
Primary Assembly	1	Chromosome	assembled-molecule	total-length	100649945
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	100613245
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	368
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	409820
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	367
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	95692043
Primary Assembly	2	Chromosome	all	ungapped-length	95656443
Primary Assembly	2	Chromosome	all	scaffold-count	357
Primary Assembly	2	Chromosome	all	scaffold-N50	396689
Primary Assembly	2	Chromosome	all	spanned-gaps	0
Primary Assembly	2	Chromosome	all	unspanned-gaps	356
Primary Assembly	2	Chromosome	assembled-molecule	total-length	95692043
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	95656443
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	357
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	396689
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	356
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	94587701
Primary Assembly	3	Chromosome	all	ungapped-length	94549601
Primary Assembly	3	Chromosome	all	scaffold-count	382
Primary Assembly	3	Chromosome	all	scaffold-N50	381629
Primary Assembly	3	Chromosome	all	spanned-gaps	0
Primary Assembly	3	Chromosome	all	unspanned-gaps	381
Primary Assembly	3	Chromosome	assembled-molecule	total-length	94587701
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	94549601
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	382
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	381629
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	381
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	92111078
Primary Assembly	4	Chromosome	all	ungapped-length	92077178
Primary Assembly	4	Chromosome	all	scaffold-count	340
