# Assembly Statistics Report
# Assembly name:  ASM371315v1
# Organism name:  Arachis hypogaea (peanut)
# Infraspecific name:  cultivar=Shitouqi
# Taxid:          3818
# BioSample:      SAMN09628890
# BioProject:     PRJNA480120
# Submitter:      International peanut genome project
# Date:           2018-07-20
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Assembly method: FALCON v. 2017-06
# Expected final version: yes
# Genome coverage: 100.0x
# Sequencing technology: PacBio
# GenBank assembly accession: GCA_003713155.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003713165.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2506713456
all	all	all	all	spanned-gaps	6269
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	6289
all	all	all	all	contig-N50	1310399
all	all	all	all	contig-L50	562
all	all	all	all	total-gap-length	626900
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	20
all	all	all	all	component-count	20
Primary Assembly	all	all	all	total-length	2506713456
Primary Assembly	all	all	all	ungapped-length	2506086556
Primary Assembly	all	all	all	spanned-gaps	6269
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2506713456
Primary Assembly	all	all	assembled-molecule	ungapped-length	2506086556
Primary Assembly	all	all	assembled-molecule	spanned-gaps	6269
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A01	Chromosome	all	total-length	111624253
Primary Assembly	A01	Chromosome	all	ungapped-length	111599253
Primary Assembly	A01	Chromosome	all	spanned-gaps	250
Primary Assembly	A01	Chromosome	all	unspanned-gaps	0
Primary Assembly	A01	Chromosome	assembled-molecule	total-length	111624253
Primary Assembly	A01	Chromosome	assembled-molecule	ungapped-length	111599253
Primary Assembly	A01	Chromosome	assembled-molecule	spanned-gaps	250
Primary Assembly	A01	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A02	Chromosome	all	total-length	99791824
Primary Assembly	A02	Chromosome	all	ungapped-length	99758624
Primary Assembly	A02	Chromosome	all	spanned-gaps	332
Primary Assembly	A02	Chromosome	all	unspanned-gaps	0
Primary Assembly	A02	Chromosome	assembled-molecule	total-length	99791824
Primary Assembly	A02	Chromosome	assembled-molecule	ungapped-length	99758624
Primary Assembly	A02	Chromosome	assembled-molecule	spanned-gaps	332
Primary Assembly	A02	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A03	Chromosome	all	total-length	143206517
Primary Assembly	A03	Chromosome	all	ungapped-length	143170717
Primary Assembly	A03	Chromosome	all	spanned-gaps	358
Primary Assembly	A03	Chromosome	all	unspanned-gaps	0
Primary Assembly	A03	Chromosome	assembled-molecule	total-length	143206517
Primary Assembly	A03	Chromosome	assembled-molecule	ungapped-length	143170717
Primary Assembly	A03	Chromosome	assembled-molecule	spanned-gaps	358
Primary Assembly	A03	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A04	Chromosome	all	total-length	122064722
Primary Assembly	A04	Chromosome	all	ungapped-length	122032022
Primary Assembly	A04	Chromosome	all	spanned-gaps	327
Primary Assembly	A04	Chromosome	all	unspanned-gaps	0
Primary Assembly	A04	Chromosome	assembled-molecule	total-length	122064722
Primary Assembly	A04	Chromosome	assembled-molecule	ungapped-length	122032022
Primary Assembly	A04	Chromosome	assembled-molecule	spanned-gaps	327
Primary Assembly	A04	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A04	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A04	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A04	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A04	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A05	Chromosome	all	total-length	116166884
Primary Assembly	A05	Chromosome	all	ungapped-length	116131084
Primary Assembly	A05	Chromosome	all	spanned-gaps	358
Primary Assembly	A05	Chromosome	all	unspanned-gaps	0
Primary Assembly	A05	Chromosome	assembled-molecule	total-length	116166884
Primary Assembly	A05	Chromosome	assembled-molecule	ungapped-length	116131084
Primary Assembly	A05	Chromosome	assembled-molecule	spanned-gaps	358
Primary Assembly	A05	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A05	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A05	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A05	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A05	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A06	Chromosome	all	total-length	109264827
Primary Assembly	A06	Chromosome	all	ungapped-length	109232527
Primary Assembly	A06	Chromosome	all	spanned-gaps	323
Primary Assembly	A06	Chromosome	all	unspanned-gaps	0
Primary Assembly	A06	Chromosome	assembled-molecule	total-length	109264827
Primary Assembly	A06	Chromosome	assembled-molecule	ungapped-length	109232527
Primary Assembly	A06	Chromosome	assembled-molecule	spanned-gaps	323
Primary Assembly	A06	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A06	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A06	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A06	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A06	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A07	Chromosome	all	total-length	83117376
Primary Assembly	A07	Chromosome	all	ungapped-length	83092076
Primary Assembly	A07	Chromosome	all	spanned-gaps	253
Primary Assembly	A07	Chromosome	all	unspanned-gaps	0
Primary Assembly	A07	Chromosome	assembled-molecule	total-length	83117376
Primary Assembly	A07	Chromosome	assembled-molecule	ungapped-length	83092076
Primary Assembly	A07	Chromosome	assembled-molecule	spanned-gaps	253
Primary Assembly	A07	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A07	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A07	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A07	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A07	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A08	Chromosome	all	total-length	51955169
Primary Assembly	A08	Chromosome	all	ungapped-length	51945669
Primary Assembly	A08	Chromosome	all	spanned-gaps	95
Primary Assembly	A08	Chromosome	all	unspanned-gaps	0
Primary Assembly	A08	Chromosome	assembled-molecule	total-length	51955169
Primary Assembly	A08	Chromosome	assembled-molecule	ungapped-length	51945669
Primary Assembly	A08	Chromosome	assembled-molecule	spanned-gaps	95
Primary Assembly	A08	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A08	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A08	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A08	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A08	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A09	Chromosome	all	total-length	121058954
Primary Assembly	A09	Chromosome	all	ungapped-length	121033754
Primary Assembly	A09	Chromosome	all	spanned-gaps	252
Primary Assembly	A09	Chromosome	all	unspanned-gaps	0
Primary Assembly	A09	Chromosome	assembled-molecule	total-length	121058954
Primary Assembly	A09	Chromosome	assembled-molecule	ungapped-length	121033754
Primary Assembly	A09	Chromosome	assembled-molecule	spanned-gaps	252
Primary Assembly	A09	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A09	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A09	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A09	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A09	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A10	Chromosome	all	total-length	114519869
Primary Assembly	A10	Chromosome	all	ungapped-length	114481669
Primary Assembly	A10	Chromosome	all	spanned-gaps	382
Primary Assembly	A10	Chromosome	all	unspanned-gaps	0
Primary Assembly	A10	Chromosome	assembled-molecule	total-length	114519869
Primary Assembly	A10	Chromosome	assembled-molecule	ungapped-length	114481669
Primary Assembly	A10	Chromosome	assembled-molecule	spanned-gaps	382
Primary Assembly	A10	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A10	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A10	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A10	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A10	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	B01	Chromosome	all	total-length	149379573
Primary Assembly	B01	Chromosome	all	ungapped-length	149348173
Primary Assembly	B01	Chromosome	all	spanned-gaps	314
