# Assembly Statistics Report
# Assembly name:  Prunus_persica_NCBIv2
# Organism name:  Prunus persica (peach)
# Infraspecific name:  cultivar=Lovell
# Taxid:          3760
# BioSample:      SAMN02981429
# BioProject:     PRJNA31227
# Submitter:      PGF
# Date:           2017-02-02
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AKXU02
# Assembly method: ARACHNE v. 20071016_modified
# Genome coverage: 8.47x
# Sequencing technology: ABI 3739
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000346465.2
# RefSeq assembly accession: GCF_000346465.2
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000346475.2	GCF_000346475.2	Primary Assembly
## 	GCF_002011915.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	227411381
all	all	all	all	spanned-gaps	2339
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	191
all	all	all	all	scaffold-N50	27368013
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	22573980
all	all	all	all	scaffold-N90	22388614
all	all	all	all	contig-count	2530
all	all	all	all	contig-N50	255416
all	all	all	all	contig-L50	250
all	all	all	all	total-gap-length	2772453
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	191
all	all	all	all	component-count	2530
Primary Assembly	all	all	all	total-length	227411381
Primary Assembly	all	all	all	ungapped-length	224638928
Primary Assembly	all	all	all	scaffold-count	191
Primary Assembly	all	all	all	scaffold-N50	27368013
Primary Assembly	all	all	all	spanned-gaps	2339
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	225694811
Primary Assembly	all	all	assembled-molecule	ungapped-length	223139966
Primary Assembly	all	all	assembled-molecule	scaffold-count	8
Primary Assembly	all	all	assembled-molecule	scaffold-N50	27368013
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2090
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	1716570
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	1498962
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	183
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	12175
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	249
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	G1	Chromosome	all	total-length	47851208
Primary Assembly	G1	Chromosome	all	ungapped-length	47417456
Primary Assembly	G1	Chromosome	all	scaffold-count	1
Primary Assembly	G1	Chromosome	all	scaffold-N50	47851208
Primary Assembly	G1	Chromosome	all	spanned-gaps	433
