# Assembly Statistics Report
# Assembly name:  ASM812446v1
# Organism name:  Cocos nucifera (coconut palm)
# Infraspecific name:  cultivar=Hainan Tall coconut
# Taxid:          13894
# BioSample:      SAMN06328965
# BioProject:     PRJNA374600
# Submitter:      Hainan Key Laboratory of Tropical Oil Crops Biology /Coconut Research Institute
# Date:           2019-08-29
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VOII01
# Assembly method: soap v. v2.2
# Expected final version: yes
# Genome coverage: 173.17x
# Sequencing technology: Illumina HiSeq2000
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_008124465.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_008124475.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2202455121
all	all	all	all	spanned-gaps	48407
all	all	all	all	unspanned-gaps	2287
all	all	all	all	region-count	0
all	all	all	all	contig-count	162060
all	all	all	all	contig-N50	76122
all	all	all	all	contig-L50	7503
all	all	all	all	total-gap-length	55238351
all	all	all	all	molecule-count	16
all	all	all	all	top-level-count	111366
all	all	all	all	component-count	113653
Primary Assembly	all	all	all	total-length	2202455121
Primary Assembly	all	all	all	ungapped-length	2147216770
Primary Assembly	all	all	all	spanned-gaps	48407
Primary Assembly	all	all	all	unspanned-gaps	2287
Primary Assembly	all	all	assembled-molecule	total-length	1020247174
Primary Assembly	all	all	assembled-molecule	ungapped-length	1000095280
Primary Assembly	all	all	assembled-molecule	spanned-gaps	17811
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	2287
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	1182207947
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	1147121490
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	30596
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	119963539
Primary Assembly	1	Chromosome	all	ungapped-length	117957843
Primary Assembly	1	Chromosome	all	spanned-gaps	1883
Primary Assembly	1	Chromosome	all	unspanned-gaps	187
Primary Assembly	1	Chromosome	assembled-molecule	total-length	119963539
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	117957843
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	1883
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	187
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
