# Assembly Statistics Report
# Assembly name:  Zm-B73_AB10-REFERENCE-NAM-1.0b
# Organism name:  Zea mays (maize)
# Infraspecific name:  cultivar=B73 Ab10
# Taxid:          4577
# BioSample:      SAMEA6236504
# BioProject:     PRJEB35367
# Submitter:      MaizeGDB
# Date:           2020-05-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CACTLJ01
# Genome coverage: 63x
# GenBank assembly accession: GCA_902714155.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_902714154.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2243621556
all	all	all	all	spanned-gaps	80
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	936
all	all	all	all	scaffold-N50	225306452
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	182821033
all	all	all	all	scaffold-N90	161994764
all	all	all	all	contig-count	1016
all	all	all	all	contig-N50	161994764
all	all	all	all	contig-L50	6
all	all	all	all	total-gap-length	2270836
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	936
all	all	all	all	component-count	953
Primary Assembly	all	all	all	total-length	2243621556
Primary Assembly	all	all	all	ungapped-length	2241350720
Primary Assembly	all	all	all	scaffold-count	936
Primary Assembly	all	all	all	scaffold-N50	225306452
Primary Assembly	all	all	all	spanned-gaps	80
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2162847552
Primary Assembly	all	all	assembled-molecule	ungapped-length	2161502430
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	225306452
Primary Assembly	all	all	assembled-molecule	spanned-gaps	53
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	80774004
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	79848290
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	926
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	89490
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	27
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	308051122
