# Assembly Statistics Report
# Assembly name:  ASM419377v2
# Organism name:  Glycine soja (wild soybean)
# Infraspecific name:  cultivar=W05
# Taxid:          3848
# BioSample:      SAMN09862384
# BioProject:     PRJNA486704
# Submitter:      The Chinese University of Hong Kong
# Date:           2019-02-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QZWG01
# Assembly method: MECAT v. Aug-2017
# Expected final version: yes
# Genome coverage: 77.0x
# Sequencing technology: PacBio RSII; Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_004193775.2
# RefSeq assembly accession: GCF_004193775.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004193785.2	GCF_004193785.1	Primary Assembly
## 	GCF_004322605.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1013211804
all	all	all	all	spanned-gaps	752
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1118
all	all	all	all	scaffold-N50	50696784
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	46835257
all	all	all	all	scaffold-N90	38418214
all	all	all	all	contig-count	1870
all	all	all	all	contig-N50	3331191
all	all	all	all	contig-L50	58
all	all	all	all	total-gap-length	24573723
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	1118
all	all	all	all	component-count	1118
Primary Assembly	all	all	all	total-length	1013211804
Primary Assembly	all	all	all	ungapped-length	988638081
Primary Assembly	all	all	all	scaffold-count	1118
Primary Assembly	all	all	all	scaffold-N50	50696784
Primary Assembly	all	all	all	spanned-gaps	752
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	969795186
Primary Assembly	all	all	assembled-molecule	ungapped-length	945409523
Primary Assembly	all	all	assembled-molecule	scaffold-count	20
Primary Assembly	all	all	assembled-molecule	scaffold-N50	50696784
Primary Assembly	all	all	assembled-molecule	spanned-gaps	750
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	43416618
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	43228558
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1098
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	50117
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	2
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	57321005
Primary Assembly	1	Chromosome	all	ungapped-length	56247059
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	57321005
Primary Assembly	1	Chromosome	all	spanned-gaps	46
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
